iso,year,migrant_stock,refugee_stock,disaster_displacement,conflict_displacement,climate_change,air_quality,rule_of_law,gov_effectiveness,corruption_control,state_legit,cpa_d_12,cpa_d_avg,gdp,hdi_value,gini,country_name,region,donor,sids,ldc
JPN,1990,107.5317,0.6649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,East Asia,1,0,0
KAZ,1990,361.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kazakhstan,Central and West Asia,1,0,0
KGZ,1990,62.3083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kyrgyz Republic,Central and West Asia,0,0,0
KHM,1990,3.8375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cambodia,Southeast Asia,0,0,1
KIR,1990,0.2162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiribati,Oceania,0,1,1
KOR,1990,4.3247,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Republic of Korea,East Asia,1,0,0
LAO,1990,2.2866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lao People's Democratic Republic,Southeast Asia,0,0,1
LKA,1990,4.1561,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sri Lanka,South Asia,0,0,0
MDV,1990,0.8689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maldives,South Asia,0,1,0
MHL,1990,0.1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marshall Islands,Oceania,0,1,0
MMR,1990,13.3545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myanmar,Southeast Asia,0,0,0
MNG,1990,0.6718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mongolia,East Asia,0,0,0
MYS,1990,69.592,1.4862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malaysia,Southeast Asia,1,0,0
NIU,1990,0.0461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niue,Oceania,0,1,0
NPL,1990,42.9974,1.7325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nepal,South Asia,0,0,1
