,Unnamed: 0,iso,country_name_x,mean_temperature,year,hdi_rank,hdi_value,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,v2pepwrses,v2peapssoc,v2clsocgrp,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),country_name_y,region,donor,sids,ldc
32,32,AUS,Australia,22.65,2020,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,51000.0,51433.0,5100.0,5100.0,7685860.0,3812187.0,3873673.0,25499.88,12698.63,12801.26,30.14,30.02,30.26,50.4,154129.0,2.01,74.9,91.6,98.2,87.0,77.2,63.8,83.7,3.4,70.4,90.3,92.7,49.2,98.8,100.0,,96.0,81.0,77.2,100.0,89.0,82.5,92.4,40.4,87.3,24.5,0.7,,,,,,,,,92.7,49.2,73.8,77.3,77.3,73.4,27.9,44.0,72.9,6.5,66.7,85.8,90.9,70.1,56.9,89.3,62.5,0.0,92.4,88.2,0.8270000000000001,2.964,1.003,,58043.58066,1490970000000.0,19.7,3.0,1.7,3.4,1.3,1.5,0.7,0.7,1.8,1.4,1.9,1.8,0.5,1.6651650000000002,1.619163,1.651188,,,,,,,,,Australia,Oceania,1,0,0
99,99,COK,Cook Islands,23.99,2010,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,650.0,652.0,0.0,0.0,3769.0,1895.0,1874.0,18.39,,,20.49,,,49.72,0.0,0.0,,,83.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.249544,-1.011424,-0.9116844,,,,,,,,,Cook Islands,Oceania,0,1,0
100,100,COK,Cook Islands,23.99,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2318449,-0.9730545,-0.8820833,,,,,,,,,Cook Islands,Oceania,0,1,0
101,101,COK,Cook Islands,23.97,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.218857,-0.9988776,-0.9360893,,,,,,,,,Cook Islands,Oceania,0,1,0
102,102,COK,Cook Islands,23.98,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2185534,-0.9944172,-0.9324832,,,,,,,,,Cook Islands,Oceania,0,1,0
103,103,COK,Cook Islands,23.96,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,Oceania,0,1,0
104,104,COK,Cook Islands,23.96,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3477.0,1741.0,1736.0,17.59,,,19.77,,,49.93,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,Oceania,0,1,0
105,105,COK,Cook Islands,23.98,2016,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,Oceania,0,1,0
106,106,COK,Cook Islands,23.99,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,Oceania,0,1,0
107,107,COK,Cook Islands,23.97,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,Oceania,0,1,0
108,108,COK,Cook Islands,23.98,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3491.0,1748.0,1743.0,17.55,,,19.89,,,49.93,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,Oceania,0,1,0
109,109,COK,Cook Islands,23.98,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4579.0,2290.0,2289.0,17.56,,,26.07,,,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,Oceania,0,1,0
110,110,FSM,"Micronesia, Federated States of",26.41,2010,136.0,0.601,2.5,2.0,2.5,2.3,4.0,3.5,2.5,3.3,3.0,2.0,2.5,2.0,3.0,2.5,3.0,3.0,3.0,2.0,3.0,2.8,3.5,2.7,,,,,,,,,2806.0,1503.0,1303.0,102.91,52.24,50.68,2.73,2.88,2.57,46.44,1.0,0.04,,,62.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3084.7539100000004,317470533.4,70.6,5.1,5.5,4.5,6.4,6.8,8.1,6.6,6.6,2.8,7.0,3.1,8.1,-0.1497958999999999,-0.8025251,-0.1015308,,,,,,,,,Federated States of Micronesia,Oceania,0,1,0
111,111,FSM,"Micronesia, Federated States of",26.48,2011,136.0,0.604,2.5,2.0,2.5,2.3,4.0,3.5,2.5,3.3,3.0,2.0,2.5,2.0,3.0,2.5,3.0,3.0,3.0,2.0,3.0,2.8,3.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3166.743858,327593318.7,71.9,5.4,5.6,4.2,6.7,7.2,8.0,6.3,6.9,2.5,7.1,3.5,8.5,-0.3445338,-0.7549848000000001,-0.0612899,,,,,,3.0,2.5,3.0,Federated States of Micronesia,Oceania,0,1,0
112,112,FSM,"Micronesia, Federated States of",26.73,2012,136.0,0.605,2.5,2.5,2.5,2.5,4.0,3.5,2.5,3.3,3.0,2.5,2.5,2.0,3.0,2.6,3.0,3.0,3.0,2.0,3.0,2.8,3.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,11.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3076.165405,321477741.9,71.9,5.4,5.6,4.2,7.0,7.5,8.1,6.3,6.6,2.8,6.8,3.4,8.2,-0.1481447,-0.6433704,-0.0155272,,,,,,3.5,2.5,3.0,Federated States of Micronesia,Oceania,0,1,0
113,113,FSM,"Micronesia, Federated States of",27.1,2013,136.0,0.605,3.0,2.5,2.5,2.7,4.0,3.0,2.5,3.2,3.0,2.5,2.5,3.0,3.0,2.8,3.0,3.0,3.0,2.5,3.0,2.9,3.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,2923.359712,309648107.5,72.9,5.4,5.6,4.2,7.5,8.0,8.4,6.3,6.3,3.1,7.1,8.4,7.9,-0.2044475,-0.5713716999999999,0.0652919,,,,,,3.5,2.5,3.0,Federated States of Micronesia,Oceania,0,1,0
114,114,FSM,"Micronesia, Federated States of",26.71,2014,136.0,0.604,3.0,2.5,2.5,2.7,4.0,3.5,2.5,3.3,3.0,2.5,2.5,3.0,3.0,2.8,3.0,3.0,3.0,2.5,3.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815.497529,302508316.5,74.6,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6.0,3.4,7.2,3.5,8.2,0.7686411999999999,-0.4979577999999999,-0.2810299,,,,,,3.5,3.0,3.0,Federated States of Micronesia,Oceania,0,1,0
115,115,FSM,"Micronesia, Federated States of",26.8,2015,136.0,0.612,3.0,2.5,2.5,2.7,4.0,3.5,2.5,3.3,3.0,2.5,2.5,3.0,3.0,2.8,3.0,3.0,3.0,2.5,3.5,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6800.0,6760.0,0.0,0.0,2756.0,1473.0,1283.0,108.9,55.34,53.54,2.53,2.66,2.4,46.55,14.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2906.617012,316489900.0,73.5,5.1,5.6,4.0,8.1,8.4,9.0,6.0,5.7,3.1,7.1,3.2,8.3,0.6807384,-0.3972600999999999,-0.295624,,,,,,3.5,2.5,3.0,Federated States of Micronesia,Oceania,0,1,0
116,116,FSM,"Micronesia, Federated States of",27.16,2016,136.0,0.614,3.0,2.5,2.5,2.7,4.0,3.5,2.0,3.2,3.0,2.5,3.0,3.0,3.0,2.9,3.0,3.0,3.0,2.5,2.5,2.8,2.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897.417594,319338880.1,77.1,4.8,5.6,4.0,9.0,8.5,9.5,5.7,6.2,3.4,7.6,3.6,9.2,0.6546528,-0.3351288,-0.050868,,,,,,3.5,2.5,2.5,Federated States of Micronesia,Oceania,0,1,0
117,117,FSM,"Micronesia, Federated States of",27.24,2017,136.0,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2941.873325,327904142.7,76.4,4.6,5.6,4.0,8.8,8.3,9.8,5.5,6.0,3.3,7.1,3.9,9.5,0.7213003000000001,0.0467935,-0.0229299,,,,,,3.5,2.5,2.5,Federated States of Micronesia,Oceania,0,1,0
118,118,FSM,"Micronesia, Federated States of",27.05,2018,136.0,0.618,3.5,2.5,2.5,2.8,4.0,3.0,2.0,3.0,3.0,2.5,3.0,3.0,2.5,2.8,3.0,3.0,3.0,2.5,2.5,2.8,4.5,2.9,,,,,,,,,,,,,,,,,,,,,49.8,59.88,67.08,46.39,47.4,43.07,27.6,50.0,35.17,54.96,39.76,23.03,17.69,100.0,100.0,48.14,44.63,47.4,51.75,25.9,16.98,,3.93,,100.0,0.0,100.0,22.29,,65.76,74.08,54.2,57.72,52.2,39.76,23.03,,,,,,,,,,,,,,,,,,,,,,,2917.242219,328598163.6,74.4,4.3,5.6,3.7,8.5,8.0,9.9,5.2,5.7,3.6,6.6,3.6,9.8,0.7007194999999999,-0.1060019,-0.0299164,125.0,115.0,115.0,135.0,135.0,3.5,2.5,2.5,Federated States of Micronesia,Oceania,0,1,0
119,119,FSM,"Micronesia, Federated States of",27.08,2019,136.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819.0,1508.0,1311.0,113.82,57.87,55.94,2.48,2.61,2.34,46.51,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2921.145867,332458532.3,73.0,4.0,5.6,3.7,8.2,7.7,9.6,4.9,5.4,3.8,6.3,3.9,9.9,0.7507071,-0.1926782,0.0246855,118.0,106.0,106.0,130.0,130.0,3.5,2.5,2.5,Federated States of Micronesia,Oceania,0,1,0
120,120,FSM,"Micronesia, Federated States of",27.22,2020,,,3.5,2.5,2.5,2.8,4.0,3.0,2.0,3.0,3.0,2.5,3.0,2.5,3.0,2.8,3.0,3.0,3.0,2.5,2.5,2.8,3.5,2.9,,,,,,,,,2832.0,1515.0,1317.0,115.02,58.48,56.54,2.46,2.59,2.33,46.5,,,33.0,30.8,29.0,35.5,41.5,34.5,6.9,32.7,39.0,58.8,0.1,19.4,17.4,31.0,,39.4,32.9,41.5,0.1,0.0,0.0,,3.0,,100.0,0.0,,,,,,,,,0.1,19.4,100.0,0.0,0.0,51.7,100.0,,,70.8,31.9,57.3,,45.7,77.8,,0.0,72.0,92.5,25.0,,,,,2839.388103,326589259.0,71.2,4.0,5.6,3.7,7.9,7.4,9.3,4.6,5.6,3.5,6.0,3.6,10.0,0.8805574,-0.0826501,0.0900508999999999,,,,,,3.5,2.5,3.0,Federated States of Micronesia,Oceania,0,1,0
121,121,FJI,Fiji,24.57,2010,93.0,0.715,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,18000.0,18000.0,0.0,0.0,13351.0,7137.0,6214.0,859.82,438.94,420.87,1.55,1.63,1.48,46.54,1.0,0.01,65.9,,74.81,,,,,,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.725,-0.602,0.838,,4523.866264,3889692596.0,80.5,6.8,8.2,7.4,6.7,7.5,6.6,8.9,5.5,6.7,5.9,4.2,6.1,-0.4592105999999999,-0.7242482,-0.8484084999999999,,,,,,,,,Fiji,Oceania,0,1,0
