,Unnamed: 0,iso,country_name_x,mean_temperature,year,hdi_rank,hdi_value,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,v2pepwrses,v2peapssoc,v2clsocgrp,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),country_name_y,region,donor,sids,ldc
88,88,CHN,China,7.4,2010,85.0,0.699,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,15920000.0,15920060.0,0.0,0.0,849861.0,505758.0,344103.0,1391998.17,715068.26,676929.9,0.06,0.07,0.05,40.49,300986.0,35.42,49.0,,35.13,,,,,,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,1.391,-0.7929999999999999,43.7,5647.058752,7554100000000.0,83.0,5.8,7.2,8.0,4.3,9.0,5.9,8.3,7.0,9.0,8.8,6.6,3.1,-0.5617908,0.0885483,-0.4099019,,,,,,,,,People's Republic of China,East Asia,1,0,0
89,89,CHN,China,7.22,2011,85.0,0.707,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4490000.0,4489545.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,1.391,-0.7929999999999999,42.4,6152.686005,8275580000000.0,80.1,5.7,6.9,7.9,4.4,8.6,5.6,7.9,6.6,8.8,8.2,6.2,3.3,-0.5070884,0.0881574,-0.46481,,,,,,,,,People's Republic of China,East Asia,1,0,0
90,90,CHN,China,6.94,2012,85.0,0.716,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5731000.0,5730800.0,0.0,0.0,,,,,,,,,,,,,42.24,,18.93,,,,,,31.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,1.391,-0.7929999999999999,42.2,6591.650850999999,8926350000000.0,78.3,6.0,6.9,7.9,3.9,8.3,5.3,7.9,6.3,8.6,7.9,5.9,3.5,-0.4357484,0.0233264,-0.5428619,,,,,,,,,People's Republic of China,East Asia,1,0,0
91,91,CHN,China,7.56,2013,85.0,0.724,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5924000.0,5924143.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.171,1.391,-0.952,39.7,7056.410626999999,9619580000000.0,80.9,6.5,7.2,8.3,3.6,8.0,5.0,8.1,6.8,9.4,8.1,8.4,3.8,-0.3582174,0.0034887,-0.5246463,,,,,,,,,People's Republic of China,East Asia,1,0,0
92,92,CHN,China,7.55,2014,85.0,0.731,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3612000.0,3611522.0,0.0,0.0,,,,,,,,,,,,,43.0,,18.81,,,,,,65.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.228,1.391,-1.118,39.2,7532.771995999999,10333900000000.0,79.0,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5,-0.3400132,0.3225908,-0.414574,,,,,,,,,People's Republic of China,East Asia,1,0,0
93,93,CHN,China,7.8,2015,85.0,0.739,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3602000.0,3602368.0,0.0,0.0,978046.0,600136.0,377910.0,1430405.35,734273.99,696131.35,0.07,0.08,0.05,38.64,301052.0,30.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.228,1.391,-1.148,38.6,8016.431434999999,11061600000000.0,76.5,5.9,7.2,8.3,3.4,7.4,4.6,8.0,6.2,9.2,7.4,5.6,3.2,-0.2820594999999999,0.4075750999999999,-0.4098733,,,,,,,,,People's Republic of China,East Asia,1,0,0
94,94,CHN,China,7.79,2016,85.0,0.746,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,7434000.0,7434305.0,0.0,0.0,,,,,,,,,,,,,65.1,,23.81,,,,,,74.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.228,1.391,-1.148,38.5,8516.513699,11819100000000.0,74.9,5.6,7.2,8.1,4.1,7.5,4.6,8.3,5.9,8.7,6.9,5.1,2.9,-0.2539508,0.3545940999999999,-0.3345477,,,,,,,,,People's Republic of China,East Asia,1,0,0
95,95,CHN,China,7.94,2017,85.0,0.75,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4473000.0,4473319.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.228,1.391,-1.148,,9053.212733,12640200000000.0,74.7,5.9,7.2,7.9,4.4,7.3,4.9,8.6,5.7,8.5,6.7,4.9,2.7,-0.27085,0.4137717000000001,-0.2667109,,,,,,,,,People's Republic of China,East Asia,1,0,0
96,96,CHN,China,7.58,2018,85.0,0.755,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3762000.0,3762370.0,0.0,0.0,,,,,,,,,,,,,50.74,31.72,14.39,68.24,38.02,63.42,72.57,70.41,68.62,57.08,80.2,34.64,25.85,1.05,12.44,66.82,69.66,38.02,89.28,67.65,83.05,72.21,29.46,71.81,21.89,90.52,50.3,63.24,45.59,99.0,99.89,61.84,60.12,54.05,80.2,34.64,,,,,,,,,,,,,,,,,,,-0.228,0.983,-1.4069999999999998,,9619.192484,13493400000000.0,72.4,5.9,7.2,7.6,4.1,7.0,4.9,8.6,5.4,8.5,6.2,4.6,2.4,-0.2679587,0.4792704,-0.2028825,45.17,5.0,94.0,4.0,37.0,,,,People's Republic of China,East Asia,1,0,0
97,97,CHN,China,7.85,2019,85.0,0.761,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4034000.0,4033553.0,220000.0,220000.0,1030871.0,632550.0,398321.0,1457557.56,747448.38,710109.19,0.07,0.08,0.06,38.64,322383.0,31.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.324,1.347,-1.646,,10155.41756,14296200000000.0,71.1,5.6,7.2,7.3,4.2,6.7,4.6,8.7,5.1,8.8,5.9,4.3,2.7,-0.2951185999999999,0.5170005999999999,-0.2746037,42.83,4.0,83.0,3.0,42.0,,,,People's Republic of China,East Asia,1,0,0
