iso,country_name,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,mean_temperature,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,hdi_rank,hdi_value,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,v2pepwrses,v2peapssoc,v2clsocgrp,fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
NPL,Nepal,2011,-0.7789158,-0.9025427,-1.416444,-0.7225809,-0.8866997,-0.4451258,13.29,50000.0,50000.0,0.0,0.0,46000.0,46476.0,0.0,0.0,142.0,0.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,-0.639,1.133,,,,,,,,,,,,,,,755.9141324,20440840356.0,,,,,,4.5,4.0,4.0,4.2,4.5,4.0,3.5,4.0,4.0,5.0,4.0,4.0,4.5,4.3,3.0,4.5,5.0,3.5,3.5,3.9,4.0,4.1
AFG,Afghanistan,2011,-1.579174,-1.448444,-2.50206,-1.540586,-1.896546,-1.335977,13.85,450000.0,450000.0,186000.0,186000.0,3000.0,3000.0,0.0,0.0,169.0,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,-0.46,-0.147,,,,,,,,,,,,,,,511.9985148,15420069703.0,,,,,,3.5,3.5,3.5,3.5,3.0,2.0,2.5,2.5,2.0,3.0,3.0,2.5,2.0,2.5,1.5,3.5,3.5,2.5,2.5,2.7,3.0,2.8
ARM,Armenia,2011,-0.6568626999999999,-0.12899059999999998,-0.06386900000000001,0.2732067,-0.4409416,-0.6907798,6.44,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.649,1.365,1.783,,,,,,,,,,,,,,29.4,3098.742304,8913643793.0,,,,,,4.0,5.0,5.0,4.7,5.0,4.5,4.5,4.7,4.5,5.0,4.5,5.0,3.5,4.5,3.5,4.5,4.5,4.5,3.0,4.0,3.5,4.5
AUS,Australia,2011,2.04471,1.695814,0.9357101,1.858609,1.742514,1.4537209999999998,21.53,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,8.0,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,2.964,1.536,,,,,,,,,,,,,,,54108.11106,1208780000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,2011,-1.1788459999999998,-0.7651435999999999,-0.5321359999999999,-0.3719663,-0.8936627,-1.301848,12.34,599000.0,599192.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6569999999999998,0.517,1.408,,,,,,,,,,,,,,,5152.657444,47265749253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,2011,-1.087299,-0.7552108000000001,-1.404737,-0.8115228,-0.7323930999999999,-0.31506890000000004,25.69,426000.0,426490.0,600.0,600.0,400000.0,400000.0,0.0,0.0,133.0,0.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4240000000000002,-1.042,-0.765,,,,,,,,,,,,,,,1024.021957,152859000000.0,,,,,,4.5,4.0,4.5,4.3,3.0,4.0,3.0,3.3,4.0,4.5,4.0,4.0,4.0,4.1,4.0,4.0,4.0,3.5,4.0,3.9,4.5,3.9
BTN,Bhutan,2011,0.8385482,0.6325497,0.8264953000000002,-1.154382,0.1955945,-0.4040294,12.06,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,129.0,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167,2.126,1.041,,,,,,,,,,,,,,,2386.621111,1654637257.0,,,,,,4.5,4.5,4.5,4.5,4.0,3.0,3.5,3.5,4.5,4.0,4.5,4.0,5.0,4.4,4.5,4.5,5.0,5.0,4.5,4.7,3.5,4.3
BRN,Brunei Darussalam,2011,0.8616439,0.8969321,1.085194,1.154296,0.8499598,-0.6103393,26.38,,,,,,,,,47.0,0.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34244.2069,13481499083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2011,-1.238731,-0.8627386999999999,-0.3044197,-0.5836288000000001,-1.04499,-0.9141283,26.92,0.0,0.0,0.0,0.0,214000.0,214000.0,0.0,0.0,144.0,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.474,0.119,-0.509,,,,,,,,,,,,,,,940.1118195,13670561754.0,,,,,,4.5,4.0,4.5,4.3,4.0,4.0,3.5,3.8,4.0,4.5,4.5,3.5,3.5,4.0,3.5,4.0,4.0,3.5,4.0,3.8,3.5,4.0
COK,Cook Islands,2011,-0.2318449,-0.9730545,,-1.169229,-0.8820833,-0.4071989,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Federated States of",2011,-0.3445338,-0.7549848000000001,1.101389,-0.8908712,-0.0612899,0.9971792,26.48,,,,,,,,,136.0,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3166.743858,327593318.7,,,,,,2.5,2.0,2.5,2.3,4.0,3.5,2.5,3.3,3.0,2.0,2.5,2.0,3.0,2.5,3.0,3.0,3.0,2.0,3.0,2.8,3.5,2.7
FJI,Fiji,2011,-0.1258441,-0.7061993000000001,-0.0712882,-0.4951043,-0.8244902,-1.093062,24.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.725,-0.602,0.838,,,,,,,,,,,,,,,4626.683325,3994914344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,2011,0.1184005,0.5535932,-0.6569520000000001,0.6642455,-0.1242663,-0.17269890000000002,6.99,270000.0,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.676,1.319,1.4980000000000002,,,,,,,,,,,,,,39.6,3356.997868,12610364430.0,,,,,,4.5,4.5,4.5,4.5,5.5,4.0,5.5,5.0,4.5,5.0,5.0,4.5,3.0,4.4,4.0,5.0,5.5,4.5,4.0,4.6,3.5,4.6
HKG,Hong Kong,2011,1.852496,1.650636,0.9485961,1.78208,1.554583,0.574968,,,,,,,,,,4.0,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,1.725,1.3969999999999998,,,,,,,,,,,,,,,39656.07762,280432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,2011,-0.5362576,0.0059228,-1.3267950000000002,-0.3445381,-0.0906831,0.4358186,24.82,650000.0,650000.0,53000.0,53000.0,1503000.0,1503320.0,0.0,0.0,131.0,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.494,0.063,0.741,,,,,,,,,,,,,,35.7,1292.821206,1616400000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2011,-0.7018531,-0.2594484,-0.7701142,-0.35191409999999995,-0.5929989,-0.008531,26.07,180000.0,180000.0,15000.0,15000.0,7400.0,7442.0,0.0,0.0,100.0,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.13,0.7659999999999999,,,,,,,,,,,,,,39.7,2849.354985,698422000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,2011,1.561326,1.4725469999999998,0.995092,1.079391,1.311966,1.071133,11.22,0.0,0.0,0.0,0.0,892000.0,892000.0,0.0,0.0,19.0,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.406,2.721,2.384,,,,,,,,,,,,,,,33011.13423,4219910000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,2011,-0.9914735,-0.4098542000000001,-0.33857059999999994,-0.2447563,-0.5734760999999999,-1.121369,6.25,0.0,0.0,0.0,0.0,9000.0,9000.0,0.0,0.0,51.0,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.06,1.86,1.336,,,,,,,,,,,,,,28.0,9506.734053,157405000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,2011,0.0950191,-0.7764066,1.302488,-1.40459,0.1002314,0.8370643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.598885,143025999.2,,,,,,2.0,2.0,3.5,2.5,2.5,3.0,2.5,2.7,3.0,2.5,3.0,3.0,3.0,2.9,3.0,2.0,3.0,2.5,3.0,2.7,3.5,2.7
KGZ,Kyrgyzstan,2011,-1.218826,-0.6379873,-1.098031,-0.210015,-1.19029,-0.6829873000000001,2.18,67000.0,67000.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382,1.5319999999999998,0.7090000000000001,,,,,,,,,,,,,,27.8,1011.315529,5577000617.0,,,,,,4.5,3.5,4.5,4.2,5.0,3.5,4.0,4.2,5.0,4.0,4.5,4.5,4.0,4.4,3.0,3.5,3.5,3.5,3.5,3.4,3.5,4.0
LAO,Lao People's Democratic Republic,2011,-1.177121,-0.8338406999999999,-0.0580072,-0.9776725,-1.000485,-1.678506,23.03,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,137.0,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,-0.624,-0.865,,,,,,,,,,,,,,,1687.147369,10709275903.0,,,,,,4.5,4.0,4.0,4.2,4.0,3.5,3.5,3.7,4.0,4.5,4.5,3.5,4.0,4.1,4.0,4.0,3.5,4.0,3.5,3.8,4.0,3.9
MYS,Malaysia,2011,0.0295228,1.021066,0.0774098,0.5820687,0.4786735,-0.4748749,25.58,0.0,0.0,0.0,0.0,24000.0,24000.0,0.0,0.0,62.0,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.534,0.607,-0.035,,,,,,,,,,,,,,43.9,8550.154638,244970000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,2011,-0.5548046999999999,-0.3059395,-0.2426302,-0.3682638,-0.5539944,-0.1566404,27.73,,,,,,,,,95.0,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.946,2.221,1.004,,,,,,,,,,,,,,,8892.911397,3383690536.0,,,,,,4.0,3.5,3.0,3.5,3.5,3.0,4.0,3.5,3.5,4.0,4.0,3.5,3.5,3.7,4.0,3.0,4.0,4.0,3.0,3.6,4.5,3.6
MHL,Marshall Islands,2011,-0.3320265,-1.46187,1.0618040000000002,-1.0045959999999998,0.1230095,1.129664,27.73,,,,,,,,,117.0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179.185833,179700300.0,,,,,,2.5,2.5,3.0,2.7,3.5,3.0,2.5,3.0,3.0,2.0,3.0,3.0,2.5,2.7,3.5,3.0,3.0,2.0,2.5,2.8,3.5,2.8
MNG,Mongolia,2011,-0.6920758,-0.5857348000000001,0.6065389,-0.2219121,-0.2670228,0.0520602,0.04,,,,,,,,,99.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.163,0.775,2.2,,,,,,,,,,,,,,33.9,3028.16166,8389088853.0,,,,,,4.0,3.5,4.0,3.8,4.5,3.5,4.5,4.2,4.0,4.0,4.0,4.0,3.0,3.8,4.0,4.0,4.5,3.5,3.5,3.9,3.0,3.9
MMR,Myanmar,2011,-1.586766,-1.596782,-1.111098,-2.102423,-1.438391,-1.849634,23.29,450000.0,450000.0,50000.0,50000.0,13000.0,13152.0,0.0,0.0,147.0,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.022,-1.148,-1.369,,,,,,,,,,,,,,,962.9954522,49103727463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRU,Nauru,2011,-0.040401199999999984,-0.5776894,1.0618040000000002,-1.079763,0.5621791,1.095169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4501.446094,45325060.72,,,,,,3.0,2.5,1.5,2.3,4.0,1.0,2.0,2.3,3.0,3.5,3.0,3.5,2.5,3.1,2.5,4.0,3.0,3.0,3.5,3.2,3.5,2.7
NZL,New Zealand,2011,2.297591,1.877416,1.376731,1.970794,1.90442,1.579076,10.39,0.0,0.0,0.0,0.0,2300.0,2300.0,0.0,0.0,14.0,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111,1.765,2.151,,,,,,,,,,,,,,,35930.70084,157520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIU,Niue,2011,-0.4412377000000001,-0.9730545,,-0.9360021,-0.7358481,-0.4071989,24.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,2011,-1.076278,-0.817893,-2.810035,-0.6340992,-0.9018267,-0.8291994,21.26,900000.0,900000.0,190000.0,190000.0,300000.0,300000.0,0.0,0.0,154.0,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8370000000000001,0.748,-1.085,,,,,,,,,,,,,,30.9,1245.737437,228394000000.0,,,,,,4.5,3.5,4.5,4.2,3.5,4.5,4.0,4.0,2.5,4.0,3.0,3.5,4.0,3.4,3.0,4.5,3.5,3.5,3.5,3.6,3.5,3.8
PLW,Palau,2011,-0.5288443,-0.5776894,1.0618040000000002,-0.8956046999999999,0.8949478999999999,1.206218,27.89,,,,,,,,,50.0,0.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14073.60829,249778400.0,,,,,,3.5,2.5,4.0,3.3,4.0,3.5,2.5,3.3,3.0,3.5,4.0,4.0,4.0,3.7,4.0,3.5,3.5,3.0,3.0,3.4,3.5,3.4
PNG,Papua New Guinea,2011,-1.022831,-0.7111115,-0.7546774,-0.5160760999999999,-0.8055715999999999,-0.038828,25.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.189,-0.972,1.332,,,,,,,,,,,,,,,2210.952146,16520667778.0,,,,,,4.0,3.5,4.5,4.0,4.5,2.5,3.0,3.3,2.5,3.5,2.5,3.0,2.5,2.8,3.0,3.5,4.0,2.5,3.0,3.2,4.0,3.3
CHN,China,2011,-0.5070884,0.0881574,-0.6020548000000001,-0.2214281,-0.4648100000000001,-1.637609,7.22,0.0,0.0,0.0,0.0,4490000.0,4489545.0,0.0,0.0,85.0,0.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,1.391,-0.7929999999999999,,,,,,,,,,,,,,42.4,6152.686005,8275580000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,2011,-0.6670986999999999,0.0902608,-1.392182,-0.2276281,-0.5110275,-0.0199027,25.63,46000.0,46000.0,97000.0,97000.0,2499000.0,2499241.0,0.0,0.0,107.0,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3720000000000001,0.285,0.29600000000000004,,,,,,,,,,,,,,,2484.489204,237443000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Republic of",2011,0.5283376999999999,1.252658,0.4124956,0.9885986,1.025932,0.7269193,10.83,0.0,0.0,0.0,0.0,5500.0,5540.0,0.0,0.0,23.0,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696,2.849,1.857,,,,,,,,,,,,,,,26186.89754,1307690000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,2011,0.0970169,-0.0094811,0.988591,-0.30392270000000005,0.6886985999999999,0.4021758,27.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213.825349000002,789961624.3,,,,,,3.5,3.0,3.5,3.3,5.0,4.0,3.5,4.2,3.5,4.0,4.0,3.5,4.0,3.8,4.0,3.5,4.5,4.0,4.0,4.0,4.5,3.8
SLB,Solomon Islands,2011,-0.3432978,-0.8646513000000001,0.3075584,-1.044504,-0.5232059,-0.004266600000000001,25.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,-0.662,1.496,,,,,,,,,,,,,,,2195.183955,1188740406.0,,,,,,3.5,3.5,4.0,3.7,4.0,3.5,3.0,3.5,3.0,3.5,3.0,2.5,2.5,2.9,3.5,3.5,3.0,2.5,3.0,3.1,3.5,3.3
LKA,Sri Lanka,2011,-0.393244,-0.1114646,-0.7247714,-0.1136863,-0.1222856,-0.5450529000000001,27.3,125000.0,125000.0,0.0,0.0,685000.0,684884.0,0.0,0.0,72.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882,0.434,-0.331,,,,,,,,,,,,,,,3176.920341,64804396874.0,,,,,,4.0,3.5,3.5,3.7,4.0,4.0,3.5,3.8,4.0,4.5,4.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,3.5,3.8,3.5,3.8
TJK,Tajikistan,2011,-1.218252,-0.9482636,-1.023234,-0.9766871,-1.22634,-1.380848,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.705,-0.6,0.8109999999999999,,,,,,,,,,,,,,,822.9032077,6334303201.0,,,,,,4.0,4.0,4.0,4.0,4.0,3.5,4.0,3.8,3.5,3.5,3.5,3.5,3.0,3.4,3.5,4.0,3.5,3.5,3.0,3.5,4.5,3.7
THA,Thailand,2011,-0.3234363,0.2058027,-1.133534,0.20163570000000006,-0.2038983,-0.4051817,26.22,35000.0,35000.0,50000.0,50000.0,1645000.0,1644965.0,0.0,0.0,79.0,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.08900000000000001,-0.924,,,,,,,,,,,,,,37.5,5182.042369,349883000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,2011,-0.8097211,-1.153561,-0.4623524000000001,-1.0435450000000002,-1.175452,0.1328302,24.51,900.0,900.0,1000.0,1000.0,0.0,0.0,0.0,0.0,141.0,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,-0.394,1.7080000000000002,,,,,,,,,,,,,,,1234.078226,1373719114.0,,,,,,3.5,4.0,4.0,3.8,4.5,2.5,2.5,3.2,3.5,3.0,3.0,3.0,2.5,3.0,3.0,3.0,4.0,3.0,3.0,3.2,3.5,3.3
TON,Tonga,2011,-0.3317236,-0.363674,0.9377981,-0.5867458000000001,-0.016638299999999998,0.3210243,24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4042.500178,418633233.5,,,,,,3.0,3.0,3.0,3.0,4.0,3.0,3.5,3.5,3.5,4.0,3.5,2.5,3.0,3.3,3.5,4.0,4.5,4.0,3.5,3.9,3.5,3.4
TKM,Turkmenistan,2011,-1.54336,-1.603811,0.2341291,-2.015868,-1.456832,-2.165721,15.69,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.092,0.78,-0.919,,,,,,,,,,,,,,,4810.896166,24891942389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,2011,-0.5269583999999999,-0.7950319,1.302488,-1.249603,0.4737955,0.7156515,28.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3002.629633,31905942.48,,,,,,3.5,3.0,1.5,2.7,3.0,2.0,2.5,2.5,3.0,3.5,4.0,2.5,3.0,3.2,4.0,3.0,3.0,3.5,3.0,3.3,2.5,2.9
UZB,Uzbekistan,2011,-1.3705459999999998,-0.6850357,-0.5997193000000001,-1.5611549999999998,-1.445755,-2.124431,12.87,3400.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,0.7240000000000001,0.204,,,,,,,,,,,,,,,2231.052724,65457748297.0,,,,,,4.5,5.0,5.0,4.8,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.5,4.0,3.0,2.5,3.5,3.5,4.0
VUT,Vanuatu,2011,0.2993033,-0.243702,1.109437,-0.6674644000000001,0.2747931,0.4272741,23.98,0.0,0.0,0.0,0.0,400.0,400.0,0.0,0.0,140.0,0.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.959,-0.052000000000000005,1.778,,,,,,,,,,,,,,,2867.286018,695769890.6,,,,,,4.0,3.5,4.0,3.8,3.0,4.0,3.0,3.3,3.0,3.0,2.5,3.0,2.5,2.8,3.5,3.5,3.0,3.5,3.0,3.3,3.5,3.3
VNM,Viet Nam,2011,-0.6072856,-0.232533,0.1890884,-0.5988311,-0.5448651999999999,-1.459163,24.01,0.0,0.0,0.0,0.0,230000.0,230000.0,0.0,0.0,117.0,0.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.679,0.98,1.484,,,,,,,,,,,,,,,1733.3112850000002,154042000000.0,,,,,,4.0,4.5,4.5,4.3,4.0,4.5,4.0,4.2,5.0,5.5,4.5,4.5,4.5,4.8,4.5,4.5,4.5,4.0,4.0,4.3,3.5,4.4
NPL,Nepal,2012,-0.8129804,-0.9827667,-1.381232,-0.7998764,-0.735665,-0.6423635,13.21,50000.0,50000.0,0.0,0.0,600.0,600.0,0.0,0.0,142.0,0.559,57.97,,36.595,,,,,,88.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,-0.639,1.133,93.0,7.5,8.2,9.0,7.6,8.4,5.6,8.0,7.4,8.2,7.9,7.7,7.4,,790.9881496,21348105727.0,,,,,,4.5,4.0,4.5,4.3,4.5,4.0,3.5,4.0,4.5,5.0,4.0,4.5,4.5,4.5,3.0,4.0,5.0,3.5,3.5,3.8,3.0,4.2
