country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
Cook Islands,COK,1998,,,,WWGI
Fiji,FJI,1998,0.5021858,-0.2641799,0.2223946,WWGI
Georgia,GEO,1998,-0.9628553,-0.5798628,-1.241994,WWGI
India,IND,1998,-0.24787,-0.064976,0.3539906,WWGI
Indonesia,IDN,1998,-1.176364,-0.608823,-0.7827358,WWGI
Japan,JPN,1998,1.10376,1.065328,1.386728,WWGI
Kazakhstan,KAZ,1998,-1.017779,-0.79884,-1.067358,WWGI
Kiribati,KIR,1998,-0.5842584,-0.5322519,0.1800276,WWGI
Kyrgyz Republic,KGZ,1998,-0.8411235,-0.1034535,-0.7019392,WWGI
Lao PDR,LAO,1998,-0.6033329,-0.5798628,-0.9162353,WWGI
Malaysia,MYS,1998,0.4497059,0.7605563,0.3034184,WWGI
Maldives,MDV,1998,-0.3815066,0.8848587,-0.2635219,WWGI
Marshall Islands,MHL,1998,-0.5842584,-0.3988079,-0.2263089,WWGI
"Micronesia, Fed. Sts.",FSM,1998,-0.1954361,-0.3988079,0.4151353,WWGI
Mongolia,MNG,1998,0.0555014,-0.2613098,0.2031094,WWGI
Myanmar,MMR,1998,-1.342322,-1.200367,-1.533952,WWGI
Nauru,NRU,1998,,,0.9085175,WWGI
Nepal,NPL,1998,-0.738918,-0.6211262,-0.012699,WWGI
New Zealand,NZL,1998,2.206883,1.693336,1.895288,WWGI
Papua New Guinea,PNG,1998,-0.7649102,-0.5003642,-0.5729678,WWGI
Niue,NIU,1998,,,,WWGI
Pakistan,PAK,1998,-1.054056,-0.4645905,-0.7557318,WWGI
Palau,PLW,1998,,,0.9085175,WWGI
Philippines,PHL,1998,-0.2947631,0.0259526,0.0898332,WWGI
Samoa,WSM,1998,-0.0905186,0.3302499,0.6700004,WWGI
Singapore,SGP,1998,2.113981,2.148715,1.274454,WWGI
Solomon Islands,SLB,1998,0.0299748,-0.79914,0.3011393,WWGI
"Korea, Rep.",KOR,1998,0.3517909,0.3630948,0.8114922,WWGI
Sri Lanka,LKA,1998,-0.1476559,-0.3672959,0.0959822,WWGI
