iso,year,data_source,country_name,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
BTN,2010,ADB_CPA,Bhutan,4.5,4.5,4.5,4.5,4,3,3.5,3.5,4.5,4,4.5,4,5,4.4,4.5,4.5,5,5,4.5,4.7,3,4.3
BTN,2011,ADB_CPA,Bhutan,4.5,4.5,4.5,4.5,4,3,3.5,3.5,4.5,4,4.5,4,5,4.4,4.5,4.5,5,5,4.5,4.7,3.5,4.3
BTN,2012,ADB_CPA,Bhutan,4.5,4.5,4.5,4.5,4,3.5,3.5,3.7,4.5,4.5,5,4.5,5.5,4.8,4.5,4.5,5,5.5,4.5,4.8,3.5,4.4
BTN,2013,ADB_CPA,Bhutan,4.5,4.5,4.5,4.5,4,3.5,3.5,3.7,4.5,4.5,5,4.5,5.5,4.8,4.5,4.5,5,5.5,4.5,4.8,4,4.4
BTN,2014,ADB_CPA,Bhutan,3.5,4,4.5,4,4,4,4,4,4.5,5,5,4,5,4.7,5,4.5,5,5.5,5,5,4.5,4.4
BTN,2015,ADB_CPA,Bhutan,3.5,4,4.5,4,4,4,4,4,4.5,5,5,4,5,4.7,5,4.5,5,5.5,5,5,4.5,4.4
BTN,2016,ADB_CPA,Bhutan,4,4,4.5,4.2,4,4,4,4,4.5,5,5.5,4,5,4.8,5,4.5,5,5.5,5,5,4.5,4.5
BTN,2017,ADB_CPA,Bhutan,,,,,,,,,,,,,,,,,,,,,,
BTN,2018,ADB_CPA,Bhutan,4,4,4.5,4.2,4.5,4,4,4.2,4.5,5,5.5,4,5,4.8,5,4.5,5,5.5,5,5,3.5,4.5
BTN,2019,ADB_CPA,Bhutan,,,,,,,,,,,,,,,,,,,,,,
BTN,2020,ADB_CPA,Bhutan,4.5,4.5,4.5,4.5,4.5,4,4,4.2,4.5,5,5.5,4.5,5,4.9,5,4.5,5,5.5,5,5,4,4.6
FSM,2006,ADB_CPA,Micronesia,3.5,3.5,4,3.7,5,4,3,4,3,3,2.5,2.5,3,2.8,4,3.5,3.5,3,3.5,3.5,3,3.5
FSM,2007,ADB_CPA,Micronesia,2.5,2.5,2,2.3,4,3.5,2.5,3.3,2.5,2,3,2,3,2.5,3.5,3,3,2,3,2.9,3,2.8
FSM,2008,ADB_CPA,Micronesia,2.5,2,2.5,2.3,4,3.5,2.5,3.3,2.5,2.5,2.5,2.5,3,2.6,3.5,2.5,3,2,3,2.8,3.5,2.8
FSM,2009,ADB_CPA,Micronesia,2.5,2,2.5,2.3,4,3.5,2.5,3.3,3,2,2.5,2.5,2.5,2.5,3.5,2.5,3,2,3,2.8,3.5,2.7
FSM,2010,ADB_CPA,Micronesia,2.5,2,2.5,2.3,4,3.5,2.5,3.3,3,2,2.5,2,3,2.5,3,3,3,2,3,2.8,3.5,2.7
FSM,2011,ADB_CPA,Micronesia,2.5,2,2.5,2.3,4,3.5,2.5,3.3,3,2,2.5,2,3,2.5,3,3,3,2,3,2.8,3.5,2.7
FSM,2012,ADB_CPA,Micronesia,2.5,2.5,2.5,2.5,4,3.5,2.5,3.3,3,2.5,2.5,2,3,2.6,3,3,3,2,3,2.8,3.5,2.8
FSM,2013,ADB_CPA,Micronesia,3,2.5,2.5,2.7,4,3,2.5,3.2,3,2.5,2.5,3,3,2.8,3,3,3,2.5,3,2.9,3.5,2.9
FSM,2014,ADB_CPA,Micronesia,3,2.5,2.5,2.7,4,3.5,2.5,3.3,3,2.5,2.5,3,3,2.8,3,3,3,2.5,3.5,3,3,3
FSM,2015,ADB_CPA,Micronesia,3,2.5,2.5,2.7,4,3.5,2.5,3.3,3,2.5,2.5,3,3,2.8,3,3,3,2.5,3.5,3,3,3
FSM,2016,ADB_CPA,Micronesia,3,2.5,2.5,2.7,4,3.5,2,3.2,3,2.5,3,3,3,2.9,3,3,3,2.5,2.5,2.8,2.5,2.9
FSM,2017,ADB_CPA,Micronesia,,,,,,,,,,,,,,,,,,,,,,
FSM,2018,ADB_CPA,Micronesia,3.5,2.5,2.5,2.8,4,3,2,3,3,2.5,3,3,2.5,2.8,3,3,3,2.5,2.5,2.8,4.5,2.9
FSM,2019,ADB_CPA,Micronesia,,,,,,,,,,,,,,,,,,,,,,
FSM,2020,ADB_CPA,Micronesia,3.5,2.5,2.5,2.8,4,3,2,3,3,2.5,3,2.5,3,2.8,3,3,3,2.5,2.5,2.8,3.5,2.9
GEO,2006,ADB_CPA,Georgia,,,,,,,,,,,,,,,,,,,,,,
GEO,2007,ADB_CPA,Georgia,4.5,4.5,5,4.7,4.5,3.5,5,4.3,4.5,5,4.5,4,4,4.4,3.5,4,4.5,4,4,4,3.5,4.4
GEO,2008,ADB_CPA,Georgia,4.5,4.5,5,4.7,5.5,3.5,5,4.7,4.5,5.5,4.5,4,3.5,4.4,3.5,4,4.5,4,4,4,3.5,4.4
GEO,2009,ADB_CPA,Georgia,4.5,4.5,4.5,4.5,5.5,3.5,5.5,4.8,4.5,5,5,4,3.5,4.4,3.5,4.5,5,4,3.5,4.1,3.5,4.5
GEO,2010,ADB_CPA,Georgia,4.5,4.5,4.5,4.5,5.5,3.5,5.5,4.8,4.5,5,5,4.5,3.5,4.5,4,4.5,5,4,4,4.3,3,4.5
GEO,2011,ADB_CPA,Georgia,4.5,4.5,4.5,4.5,5.5,4,5.5,5,4.5,5,5,4.5,3,4.4,4,5,5.5,4.5,4,4.6,3.5,4.6
GEO,2012,ADB_CPA,Georgia,4.5,4.5,5,4.7,5.5,3.5,5.5,4.8,4.5,4.5,4.5,4.5,3,4.2,4,5,5.5,4.5,4,4.6,3.5,4.6
GEO,2013,ADB_CPA,Georgia,4.5,4.5,5,4.7,6,3.5,5.5,5,4.5,4.5,5,4.5,3,4.3,4,5,5.5,4.5,4,4.6,2.5,4.6
GEO,2014,ADB_CPA,Georgia,4.5,4.5,5,4.7,6,4,5.5,5.2,4.5,4.5,5.5,4.5,3,4.4,4.5,5,5.5,4.5,4,4.7,4,4.7
GEO,2015,ADB_CPA,Georgia,4.5,4.5,5,4.7,6,4,5.5,5.2,4.5,4.5,5.5,4.5,3,4.4,4.5,5,5.5,4.5,4,4.7,4.5,4.7
GEO,2016,ADB_CPA,Georgia,,,,,,,,,,,,,,,,,,,,,,
GEO,2017,ADB_CPA,Georgia,,,,,,,,,,,,,,,,,,,,,,
GEO,2018,ADB_CPA,Georgia,,,,,,,,,,,,,,,,,,,,,,
GEO,2019,ADB_CPA,Georgia,,,,,,,,,,,,,,,,,,,,,,
GEO,2020,ADB_CPA,Georgia,,,,,,,,,,,,,,,,,,,,,,
KGZ,2006,ADB_CPA,Kyrgyz Republic,4,3.5,3.5,3.7,5,3.5,3,3.8,4.5,3.5,3.5,3.5,3.5,3.7,2.5,3.5,3.5,2.5,2.5,2.9,4.5,3.5
KGZ,2007,ADB_CPA,Kyrgyz Republic,4.5,4,4,4.2,5,3.5,3.5,4,4.5,3.5,4,3.5,3.5,3.8,3,3.5,3.5,2.5,2.5,3,3.5,3.7
KGZ,2008,ADB_CPA,Kyrgyz Republic,4.5,4,4.5,4.3,5,3.5,3.5,4,4.5,3.5,4,4,3.5,3.9,2.5,3.5,3.5,3,3,3.1,4.5,3.8
KGZ,2009,ADB_CPA,Kyrgyz Republic,4.5,4,4.5,4.3,5,4,4,4.3,4.5,3.5,4,4,4,4,3,3.5,3.5,3,3,3.2,3.5,4
KGZ,2010,ADB_CPA,Kyrgyz Republic,4.5,3.5,4.5,4.2,5,3.5,4,4.2,4.5,3.5,4,4,4,4,2.5,3.5,3.5,3,3,3.1,3.5,3.9
KGZ,2011,ADB_CPA,Kyrgyz Republic,4.5,3.5,4.5,4.2,5,3.5,4,4.2,5,4,4.5,4.5,4,4.4,3,3.5,3.5,3.5,3.5,3.4,3.5,4
KGZ,2012,ADB_CPA,Kyrgyz Republic,4.5,4,4.5,4.3,5,3.5,4,4.2,4.5,4,4.5,5,4,4.4,3.5,3.5,4,4,4,3.8,3,4.2
KGZ,2013,ADB_CPA,Kyrgyz Republic,4.5,4,4.5,4.3,5,4,4,4.3,4.5,4,5,4.5,4,4.4,3.5,3.5,4,4,3.5,3.7,3,4.2
KGZ,2014,ADB_CPA,Kyrgyz Republic,4,4,4.5,4.2,5,4,4,4.3,4.5,4,5,5,3.5,4.4,3.5,3.5,4,4,4,3.8,4,4.2
KGZ,2015,ADB_CPA,Kyrgyz Republic,4,4,4.5,4.2,5,4,4,4.3,4.5,4,5,5,3.5,4.4,3.5,3.5,4,4,4,3.8,4,4.2
KGZ,2016,ADB_CPA,Kyrgyz Republic,4,4,4,4,4.5,4,4,4.2,4.5,4,5,5,3.5,4.4,3.5,3.5,4,4,3.5,3.7,4.5,4.1
KGZ,2017,ADB_CPA,Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,
KGZ,2018,ADB_CPA,Kyrgyz Republic,4,4,4,4,4.5,4,4,4.2,5,4,5,5,3,4.4,3.5,3.5,4,4,3.5,3.7,3.5,4.1
KGZ,2019,ADB_CPA,Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,
KGZ,2020,ADB_CPA,Kyrgyz Republic,4,4,4,4,5,3.5,4,4.2,5,4,5,4.5,3.5,4.4,3.5,3.5,4,4,3.5,3.7,3.5,4.1
KHM,2006,ADB_CPA,Cambodia,4.5,3.5,3.5,3.8,4,3,3,3.3,4,3.5,3.5,2.5,2.5,3.3,2.5,3,3.5,2.5,2.5,2.8,5.5,3.3
KHM,2007,ADB_CPA,Cambodia,4.5,4,4,4.2,4,3.5,3,3.5,4,4,4,3,3,3.6,2.5,3.5,4,2.5,2.5,3,3.5,3.6
KHM,2008,ADB_CPA,Cambodia,4,4,4,4,4,3.5,3,3.5,4,3.5,4,3.5,3,3.6,2.5,4,4,3,3,3.3,3.5,3.6
KHM,2009,ADB_CPA,Cambodia,4.5,4,4,4.2,4,4,3.5,3.8,4,4.5,4.5,3.5,3.5,4,3,4,4,3.5,3,3.5,3.5,3.9
KHM,2010,ADB_CPA,Cambodia,4.5,4,4,4.2,4,4.5,3.5,4,4,4.5,4.5,3.5,3.5,4,3.5,4,4,3.5,3.5,3.7,3.5,4
KHM,2011,ADB_CPA,Cambodia,4.5,4,4.5,4.3,4,4,3.5,3.8,4,4.5,4.5,3.5,3.5,4,3.5,4,4,3.5,4,3.8,3.5,4
KHM,2012,ADB_CPA,Cambodia,4.5,4.5,5,4.7,4.5,4.5,3.5,4.2,4.5,4.5,4.5,3.5,3.5,4.1,3.5,4.5,4,4,4,4,3,4.2
KHM,2013,ADB_CPA,Cambodia,4.5,4.5,5,4.7,4.5,4,3.5,4,4.5,4,4,3.5,3.5,3.9,3.5,4.5,4,4,3.5,3.9,3,4.1
KHM,2014,ADB_CPA,Cambodia,4.5,4.5,5,4.7,4.5,4,4,4.2,4.5,4,4.5,3.5,3.5,4,4,4.5,4,4,3.5,4,3.5,4.2
KHM,2015,ADB_CPA,Cambodia,4.5,4.5,5,4.7,4.5,4,4,4.2,4.5,4,4.5,3.5,3.5,4,4,4.5,4,4,3.5,4,4,4.2
KHM,2016,ADB_CPA,Cambodia,4.5,4,5,4.5,4.5,4,4,4.2,4.5,4,4.5,3.5,3.5,4,4,4.5,4,4,3,3.9,4,4.1
KHM,2017,ADB_CPA,Cambodia,,,,,,,,,,,,,,,,,,,,,,
KHM,2018,ADB_CPA,Cambodia,4.5,4,5,4.5,4.5,4,4,4.2,4.5,4,4.5,3.5,3,3.9,4,4.5,4,4,3,3.9,3.5,4.1
KHM,2019,ADB_CPA,Cambodia,,,,,,,,,,,,,,,,,,,,,,
KHM,2020,ADB_CPA,Cambodia,4.5,4.5,5,4.7,5,4,4,4.3,4.5,4,4.5,4,3.5,4.1,3.5,4.5,4,4,3,3.8,3,4.2
KIR,2006,ADB_CPA,Kiribati,2,3,3,2.7,2.5,4,3.5,3.3,2.5,2,2.5,2.5,2.5,2.4,4,3.5,3,3.5,2.5,3.3,4.5,2.9
KIR,2007,ADB_CPA,Kiribati,2.5,2.5,3.5,2.8,2.5,3,2.5,2.7,3,3,3,3,3,3,3,3,3,3,3,3,3.5,2.9
KIR,2008,ADB_CPA,Kiribati,2,2,3.5,2.5,2,3,2.5,2.5,3,2.5,3,2.5,3,2.8,3,2.5,3,3,3,2.9,3.5,2.7
KIR,2009,ADB_CPA,Kiribati,2,2,3.5,2.5,2.5,3,2.5,2.7,3,3,3,3,3,3,3,2.5,3,3,3,2.9,3.5,2.8
KIR,2010,ADB_CPA,Kiribati,2,2,3.5,2.5,2.5,3,2.5,2.7,3,3,3,3,3,3,3,2.5,3,2.5,3,2.8,3.5,2.7
KIR,2011,ADB_CPA,Kiribati,2,2,3.5,2.5,2.5,3,2.5,2.7,3,2.5,3,3,3,2.9,3,2,3,2.5,3,2.7,3.5,2.7
KIR,2012,ADB_CPA,Kiribati,3,3,3.5,3.2,3,3,2.5,2.8,3.5,3,3,3,3,3.1,3,2,3,3,3,2.8,3.5,3
KIR,2013,ADB_CPA,Kiribati,3,3,3,3,3,3,2.5,2.8,3.5,3,3,3.5,3,3.2,3.5,2,3,3,3,2.9,2.5,3
KIR,2014,ADB_CPA,Kiribati,3,3.5,3.5,3.3,3,2.5,2.5,2.7,3,3,3.5,3.5,3,3.2,3.5,2.5,3,3,3,3,3,3.1
KIR,2015,ADB_CPA,Kiribati,3,3.5,3.5,3.3,3,2.5,2.5,2.7,3,3,3.5,3.5,3,3.2,3.5,2.5,3,3,3,3,3,3.1
KIR,2016,ADB_CPA,Kiribati,3,3.5,3,3.2,3,2.5,2,2.5,3,3,3.5,3.5,3,3.2,3.5,2.5,3,3,2.5,2.9,4.5,2.9
KIR,2017,ADB_CPA,Kiribati,,,,,,,,,,,,,,,,,,,,,,
KIR,2018,ADB_CPA,Kiribati,4,3.5,2.5,3.3,3,2.5,2,2.5,3,3,3.5,3.5,2.5,3.1,3.5,2.5,3,3,2.5,2.9,4.5,3
KIR,2019,ADB_CPA,Kiribati,,,,,,,,,,,,,,,,,,,,,,
KIR,2020,ADB_CPA,Kiribati,4,3,2.5,3.2,3.5,2.5,2,2.7,3,3,4,3.5,3.5,3.4,4,2.5,3.5,3,2.5,3.1,4.5,3.1
LAO,2006,ADB_CPA,Laos,4,3.5,3.5,3.7,4,1.5,3,2.8,4,4,3,3.5,3,3.7,3,2.5,3,2.5,2,2.6,5.5,3.2
LAO,2007,ADB_CPA,Laos,4,4,4,4,3.5,2,3.5,3,4,4,4,4,3,3.8,3,3,3.5,3.5,3,3.2,3.5,3.5
LAO,2008,ADB_CPA,Laos,4.5,4,4,4.2,3.5,3,3.5,3.3,4,4.5,4,4,3.5,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.8
LAO,2009,ADB_CPA,Laos,4.5,4,4,4.2,4,3.5,3.5,3.7,4,4.5,4,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.8
LAO,2010,ADB_CPA,Laos,4.5,4,4,4.2,4,3.5,3.5,3.7,4,4.5,4.5,3.5,4,4.1,4,4,3.5,4,3.5,3.8,4,3.9
LAO,2011,ADB_CPA,Laos,4.5,4,4,4.2,4,3.5,3.5,3.7,4,4.5,4.5,3.5,4,4.1,4,4,3.5,4,3.5,3.8,4,3.9
LAO,2012,ADB_CPA,Laos,4.5,4,4,4.2,4.5,3.5,3.5,3.8,4.5,4.5,4.5,3.5,4,4.2,4,4,4,4.5,3.5,4,3.5,4.1
LAO,2013,ADB_CPA,Laos,4.5,4,4,4.2,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4,4
LAO,2014,ADB_CPA,Laos,4,4,4,4,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4,4
LAO,2015,ADB_CPA,Laos,4,4,4,4,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4.5,3.5,3.9,4.5,4
LAO,2016,ADB_CPA,Laos,3.5,4,3.5,3.7,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,4,4.1,3.5,4,4,4,3.5,3.8,4,3.9
LAO,2017,ADB_CPA,Laos,,,,,,,,,,,,,,,,,,,,,,
LAO,2018,ADB_CPA,Laos,3.5,4,3,3.5,4.5,3.5,3.5,3.8,4,4.5,4.5,3.5,3.5,4,3.5,4,4,4,3,3.7,3.5,3.8
LAO,2019,ADB_CPA,Laos,,,,,,,,,,,,,,,,,,,,,,
LAO,2020,ADB_CPA,Laos,3.5,3,2.5,3,4.5,3,3.5,3.7,4,4,4.5,3.5,4,4,3.5,3.5,3,3,2.5,3.1,3,3.4
LKA,2006,ADB_CPA,Sri Lanka,3.5,2.5,3.5,3.2,3.5,4,3.5,3.7,3.5,3.5,4,3.5,4,3.7,3,4,3,3,3.5,3.3,5,3.5
LKA,2007,ADB_CPA,Sri Lanka,3.5,2.5,3.5,3.2,3.5,4,3.5,3.7,3.5,4,4,3.5,4,3.8,3,4,3.5,3,3,3.3,3,3.5
LKA,2008,ADB_CPA,Sri Lanka,3.5,2.5,3,3,3.5,4,3.5,3.7,4,4,4,3.5,3.5,3.8,3,4,3.5,3,3,3.3,3.5,3.4
LKA,2009,ADB_CPA,Sri Lanka,3,2.5,3,2.8,3.5,4,3.5,3.7,4,4,4,3.5,3.5,3.8,3,4,3.5,3,3,3.3,3.5,3.4
LKA,2010,ADB_CPA,Sri Lanka,4,3,3,3.3,3.5,4,3.5,3.7,4,4,4,3.5,3.5,3.8,3.5,4,3.5,3.5,3,3.5,3.5,3.6
LKA,2011,ADB_CPA,Sri Lanka,4,3.5,3.5,3.7,4,4,3.5,3.8,4,4.5,4.5,3.5,3.5,4,4,4,4,3.5,3.5,3.8,3.5,3.8
LKA,2012,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,4.5,4.5,3.5,4,4.1,4,4,4,3.5,3.5,3.8,4,4.1
LKA,2013,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,4.5,5,4,4,4.3,4,4,4,4,3.5,3.9,4.5,4.1
LKA,2014,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,5,5,4,4,4.4,4,4,4,4,3.5,3.9,4.5,4.2
LKA,2015,ADB_CPA,Sri Lanka,4.5,4,4,4.2,4.5,4,4,4.2,4,5,5,4,4,4.4,4,4,4,4,4,4,4.5,4.2
LKA,2016,ADB_CPA,Sri Lanka,4,3,3.5,3.5,4.5,4,4,4.2,4,4.5,5,4,4,4.3,4,4,4,4,4,4,4,4
LKA,2017,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
LKA,2018,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
LKA,2019,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
LKA,2020,ADB_CPA,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
MDV,2006,ADB_CPA,Maldives,4.5,3.5,4.5,4.2,4,4,4,4,4,4,,3.5,4,3.9,4,3.5,4,4,3,3.7,4.5,3.9
MDV,2007,ADB_CPA,Maldives,3.5,2.5,3.5,3.2,3.5,3,4,3.5,4,4,4,3.5,4,3.9,4,3.5,4,4,2.5,3.6,3,3.5
MDV,2008,ADB_CPA,Maldives,3.5,2.5,3.5,3.2,3.5,3,4,3.5,4,4,4,3.5,4,3.9,4,3.5,4,4,2.5,3.6,2.5,3.5
MDV,2009,ADB_CPA,Maldives,2.5,2,3,2.5,3,3,4,3.3,3.5,4,4,3.5,3.5,3.7,3,3,3,3,2.5,2.9,2.5,3.1
MDV,2010,ADB_CPA,Maldives,4,3.5,3,3.5,3.5,3,4,3.5,3.5,4,4,3.5,3.5,3.7,4,3,4,4,3,3.6,2.5,3.6
MDV,2011,ADB_CPA,Maldives,4,3.5,3,3.5,3.5,3,4,3.5,3.5,4,4,3.5,3.5,3.7,4,3,4,4,3,3.6,4.5,3.6
MDV,2012,ADB_CPA,Maldives,4,3.5,3,3.5,4,3,4,3.7,4,4.5,4.5,4,4,4.2,4,3,4,4,3,3.6,2.5,3.7
MDV,2013,ADB_CPA,Maldives,4,3.5,3,3.5,4,3,4,3.7,4,4.5,4.5,4,4,4.2,4,3,4,4,3,3.6,4.5,3.7
MDV,2014,ADB_CPA,Maldives,3.5,3.5,3,3.3,4.5,3,4,3.8,4,4.5,5,4.5,4,4.4,4,3,4.5,4,3,3.7,4,3.8
MDV,2015,ADB_CPA,Maldives,3.5,3.5,3,3.3,4.5,3,4,3.8,4,4.5,5,4.5,4,4.4,4,3,4.5,4,3,3.7,4.5,3.8
MDV,2016,ADB_CPA,Maldives,3.5,3.5,3,3.3,4,3.5,4,3.8,4,5,5,4.5,4,4.5,4,3,5,4,2.5,3.7,3,3.8
MDV,2017,ADB_CPA,Maldives,,,,,,,,,,,,,,,,,,,,,,
MDV,2018,ADB_CPA,Maldives,3.5,3.5,3,3.3,4,3.5,4,3.8,4,5,5,4.5,4,4.5,4,3,5,4,2,3.6,4.5,3.8
MDV,2019,ADB_CPA,Maldives,,,,,,,,,,,,,,,,,,,,,,
MDV,2020,ADB_CPA,Maldives,3.5,3.5,3,3.3,4.5,3.5,4.5,4.2,4,5,5,4.5,4,4.5,3.5,4,5,4,2.5,3.8,3.5,4
MHL,2006,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3,3.5,2.5,3,2.5,2.5,3,3,2.5,2.7,3,3,3,2,2.5,2.7,4.5,2.8
MHL,2007,ADB_CPA,Marshall Islands,2.5,2.5,2,2.3,3,3,2.5,2.8,3,2,3,2.5,2.5,2.6,3.5,2.5,3,2,2.5,2.7,3.5,2.6
MHL,2008,ADB_CPA,Marshall Islands,2.5,2,2,2.2,3,3,2.5,2.8,3,2,3,2.5,3,2.7,3.5,2.5,3,2,2.5,2.7,3.5,2.6
MHL,2009,ADB_CPA,Marshall Islands,2,2,2,2,3,3,2.5,2.8,3,2.5,3,3,3,2.9,3.5,2.5,3,2,2.5,2.7,3.5,2.6
MHL,2010,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3,3,2.5,2.8,3,2,3,3,2.5,2.7,3.5,2.5,3,2,2.5,2.7,3.5,2.7
MHL,2011,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3.5,3,2.5,3,3,2,3,3,2.5,2.7,3.5,3,3,2,2.5,2.8,3.5,2.8
MHL,2012,ADB_CPA,Marshall Islands,2.5,2.5,3,2.7,3.5,3,2.5,3,3,2,2.5,3,2.5,2.6,3.5,3,3,2,2.5,2.8,3.5,2.8
MHL,2013,ADB_CPA,Marshall Islands,3,2.5,3,2.8,3,3,2.5,2.8,3,2,3,3,4,3,4,3,3,2.5,3.5,3.2,3.5,3
MHL,2014,ADB_CPA,Marshall Islands,3,2.5,2.5,2.7,3,3,2.5,2.8,3,2.5,3,3,3.5,3,4,3,3,2.5,3,3.1,4,2.9
MHL,2015,ADB_CPA,Marshall Islands,3,2.5,2.5,2.7,3,3,2.5,2.8,3,2.5,3,3,3.5,3,4,3,3,2.5,3,3.1,4,2.9
MHL,2016,ADB_CPA,Marshall Islands,3,2.5,2,2.5,3.5,3,2.5,3,3,2.5,3,3,3.5,3,4,3,3,2.5,2.5,3,4,2.9
MHL,2017,ADB_CPA,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
MHL,2018,ADB_CPA,Marshall Islands,3,2.5,2,2.5,3.5,3,2.5,3,3,2.5,3,3,3,2.9,4,3,2.5,2.5,2.5,2.9,2.5,2.8
MHL,2019,ADB_CPA,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
MHL,2020,ADB_CPA,Marshall Islands,3,2.5,2,2.5,3.5,3,2.5,3,3,2,3,3,3.5,2.9,4,3,2.5,2,2.5,2.8,3.5,2.8
MMR,2006,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
