iso,country_name,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,data_source
TJK,Tajikistan,2016,0,0,0,0,2400,2380,0,0,IDMC
TJK,Tajikistan,2017,0,0,0,0,4700,4665,0,0,IDMC
TJK,Tajikistan,2018,0,0,0,0,5400,5429,0,0,IDMC
TJK,Tajikistan,2019,0,0,0,0,4800,4811,2100,2100,IDMC
TJK,Tajikistan,2020,0,0,0,0,1500,1525,0,0,IDMC
TKM,Turkmenistan,2009,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2010,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2011,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2012,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2013,4000,4000,0,0,0,0,0,0,IDMC
TKM,Turkmenistan,2014,4000,4000,0,0,0,0,0,0,IDMC
TLS,Timor-Leste,2009,400,400,100,100,0,0,0,0,IDMC
TLS,Timor-Leste,2010,400,400,0,0,0,0,0,0,IDMC
TLS,Timor-Leste,2011,900,900,1000,1000,0,0,0,0,IDMC
TLS,Timor-Leste,2012,900,900,0,0,0,0,0,0,IDMC
TLS,Timor-Leste,2013,900,900,0,0,1300,1291,0,0,IDMC
TLS,Timor-Leste,2014,900,900,2100,2086,2300,2329,0,0,IDMC
TLS,Timor-Leste,2015,0,0,0,0,310,311,0,0,IDMC
TLS,Timor-Leste,2016,0,0,0,0,110,112,0,0,IDMC
TLS,Timor-Leste,2020,0,0,0,0,1100,1141,1100,1100,IDMC
TON,Tonga,2009,0,0,0,0,0,0,0,0,IDMC
TON,Tonga,2011,0,0,0,0,0,0,0,0,IDMC
TON,Tonga,2012,0,0,0,0,400,400,0,0,IDMC
TON,Tonga,2013,0,0,0,0,17,17,0,0,IDMC
TON,Tonga,2014,0,0,0,0,5300,5306,0,0,IDMC
TON,Tonga,2016,0,0,0,0,3000,3000,0,0,IDMC
TON,Tonga,2018,0,0,0,0,5700,5700,0,0,IDMC
TON,Tonga,2020,0,0,0,0,2700,2678,93,93,IDMC
TUV,Tuvalu,2015,0,0,0,0,5400,5435,0,0,IDMC
TUV,Tuvalu,2020,0,0,0,0,400,400,0,0,IDMC
TWN,"Taiwan, China",2009,0,0,0,0,25000,24950,0,0,IDMC
TWN,"Taiwan, China",2010,0,0,0,0,0,0,0,0,IDMC
TWN,"Taiwan, China",2012,0,0,0,0,6000,6000,0,0,IDMC
TWN,"Taiwan, China",2013,0,0,0,0,22000,22146,0,0,IDMC
TWN,"Taiwan, China",2014,0,0,0,0,9400,9388,0,0,IDMC
TWN,"Taiwan, China",2015,0,0,0,0,27000,27141,0,0,IDMC
TWN,"Taiwan, China",2016,0,0,0,0,45000,45175,0,0,IDMC
TWN,"Taiwan, China",2017,0,0,0,0,20000,20343,0,0,IDMC
TWN,"Taiwan, China",2018,0,0,0,0,19000,18752,0,0,IDMC
TWN,"Taiwan, China",2019,0,0,0,0,13000,13124,600,600,IDMC
TWN,"Taiwan, China",2020,0,0,0,0,3500,3540,0,0,IDMC
UZB,Uzbekistan,2009,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2010,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2011,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2012,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2013,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2014,3400,3400,0,0,0,0,0,0,IDMC
UZB,Uzbekistan,2020,0,0,0,0,70000,70000,0,0,IDMC
VNM,Viet Nam,2008,0,0,0,0,106000,105590,0,0,IDMC
VNM,Viet Nam,2009,0,0,0,0,187000,186900,0,0,IDMC
VNM,Viet Nam,2010,0,0,0,0,442000,441849,0,0,IDMC
VNM,Viet Nam,2011,0,0,0,0,230000,230000,0,0,IDMC
VNM,Viet Nam,2012,0,0,0,0,15000,15000,0,0,IDMC
VNM,Viet Nam,2013,0,0,0,0,1040000,1040338,0,0,IDMC
VNM,Viet Nam,2014,0,0,0,0,68000,67950,0,0,IDMC
VNM,Viet Nam,2015,0,0,0,0,9600,9551,0,0,IDMC
VNM,Viet Nam,2016,0,0,0,0,81000,80537,0,0,IDMC
VNM,Viet Nam,2017,0,0,0,0,633000,633463,0,0,IDMC
VNM,Viet Nam,2018,0,0,0,0,143000,143047,0,0,IDMC
VNM,Viet Nam,2019,0,0,0,0,89000,88749,7200,7200,IDMC
VNM,Viet Nam,2020,0,0,0,0,1267000,1267477,162000,162000,IDMC
VUT,Vanuatu,2009,0,0,0,0,0,0,0,0,IDMC
VUT,Vanuatu,2011,0,0,0,0,400,400,0,0,IDMC
VUT,Vanuatu,2012,0,0,0,0,700,700,0,0,IDMC
VUT,Vanuatu,2013,0,0,0,0,69,69,0,0,IDMC
VUT,Vanuatu,2014,0,0,0,0,350,349,0,0,IDMC
VUT,Vanuatu,2015,0,0,0,0,65000,65000,0,0,IDMC
VUT,Vanuatu,2017,0,0,0,0,14000,14259,0,0,IDMC
VUT,Vanuatu,2018,0,0,0,0,13000,12972,0,0,IDMC
VUT,Vanuatu,2019,0,0,0,0,1000,1000,100,100,IDMC
VUT,Vanuatu,2020,0,0,0,0,80000,80191,64000,64000,IDMC
WSM,Samoa,2009,0,0,0,0,5300,5274,0,0,IDMC
WSM,Samoa,2011,0,0,0,0,0,0,0,0,IDMC
WSM,Samoa,2012,0,0,0,0,7700,7739,0,0,IDMC
WSM,Samoa,2014,0,0,0,0,86,86,0,0,IDMC
WSM,Samoa,2015,0,0,0,0,970,965,0,0,IDMC
WSM,Samoa,2016,0,0,0,0,63,63,0,0,IDMC
WSM,Samoa,2018,0,0,0,0,330,327,0,0,IDMC
WSM,Samoa,2020,0,0,0,0,55,55,0,0,IDMC
