country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Timor-Leste,TLS,2011,-0.8097211,-1.153561,-0.4623524,-1.043545,-1.175452,0.1328302,WWGI
Tonga,TON,2011,-0.3317236,-0.363674,0.9377981,-0.5867458,-0.0166383,0.3210243,WWGI
Turkmenistan,TKM,2011,-1.54336,-1.603811,0.2341291,-2.015868,-1.456832,-2.165721,WWGI
Tuvalu,TUV,2011,-0.5269584,-0.7950319,1.302488,-1.249603,0.4737955,0.7156515,WWGI
Uzbekistan,UZB,2011,-1.370546,-0.6850357,-0.5997193,-1.561155,-1.445755,-2.124431,WWGI
Vanuatu,VUT,2011,0.2993033,-0.243702,1.109437,-0.6674644,0.2747931,0.4272741,WWGI
Vietnam,VNM,2011,-0.6072856,-0.232533,0.1890884,-0.5988311,-0.5448652,-1.459163,WWGI
Nepal,NPL,2012,-0.8129804,-0.9827667,-1.381232,-0.7998764,-0.735665,-0.6423635,WWGI
Afghanistan,AFG,2012,-1.419741,-1.360196,-2.418561,-1.193118,-1.643081,-1.26743,WWGI
Armenia,ARM,2012,-0.5878049,-0.0423688,0.154795,0.349337,-0.4178914,-0.5704914,WWGI
Australia,AUS,2012,1.985249,1.62129,0.9979972,1.786468,1.766858,1.49919,WWGI
Azerbaijan,AZE,2012,-1.126805,-0.7827144,-0.7157518,-0.4555908,-0.8344684,-1.299482,WWGI
Bangladesh,BGD,2012,-0.8498092,-0.804239,-1.379089,-0.951405,-0.9292567,-0.4019407,WWGI
Bhutan,BTN,2012,0.9395218,0.5124978,0.7763095,-1.086905,0.2363021,-0.2809201,WWGI
Brunei Darussalam,BRN,2012,0.5458052,0.8434001,0.9093272,1.151749,0.7930172,-0.5063741,WWGI
Cambodia,KHM,2012,-1.070025,-0.8159052,-0.1035772,-0.3413971,-0.9796243,-0.9614798,WWGI
Cook Islands,COK,2012,-0.218857,-0.9988776,,-1.139807,-0.9360893,-0.4767389,WWGI
"Micronesia, Fed. Sts.",FSM,2012,-0.1481447,-0.6433704,1.15087,-0.9492707,-0.0155272,0.9777064,WWGI
Fiji,FJI,2012,-0.1102152,-0.8380788,-0.0677748,-0.5786811,-0.7911764,-0.978678,WWGI
