iso,country_name,year,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,data_source
AFG,Afghanistan,2018,37.74,36.76,44.67,25.75,0,38.4,13.44,,33.04,91.44,0,44.77,0,71.78,77.11,24.88,26.62,0,,0.61,1.26,3.07,7,90.6,99.07,,,23.47,,53.62,50.1,67.66,82.88,100,0,44.77,,,,,,,,,,,,,,,,,,,Yale EPI
ALB,Albania,2018,65.46,65.67,65.47,66.56,62.89,65.32,75.37,58.25,68.36,86.07,80.73,22.61,30.95,88.9,88.08,67.15,65.97,62.89,86.85,94.46,94.07,32.09,56.94,81.81,23.36,54.73,61.77,53.77,100,73.3,63.65,72.61,83.25,88.9,80.73,22.61,,,,,,,,,,,,,,,,,,,Yale EPI
DZA,Algeria,2018,57.18,80.95,93.98,60.26,35.6,41.34,49.33,44.39,26.94,46.15,91.6,34.26,87.42,100,96.72,64.36,56.17,35.6,57.46,43.41,46.6,53.93,10.06,80.45,9.96,28.21,60.58,17.14,46.35,37.76,23.99,6.93,83.63,8.68,91.6,34.26,,,,,,,,,,,,,,,,,,,Yale EPI
AGO,Angola,2018,37.44,33.79,44.66,9.2,40.08,39.88,39.19,63.2,48.86,57.92,0,22.7,14.77,60.72,68.46,9.42,8.99,40.08,23.48,34.14,37.07,34.63,45.09,88.18,21.76,88.05,38.35,55,40.18,36.11,63.78,58.16,59.85,55.99,0,22.7,,,,,,,,,,,,,,,,,,,Yale EPI
ATG,Antigua and Barbuda,2018,59.18,76.53,89.13,53.33,52.04,47.61,88.49,58.51,11.26,46.94,64.44,7.26,72.82,100,100,54.69,51.96,52.04,70.01,100,100,,79.39,,,57.88,59.13,0,,22.94,85.88,47.5,46.86,47.03,64.44,7.26,,,,,,,,,,,,,,,,,,,Yale EPI
ARG,Argentina,2018,59.3,79.88,84.57,73.07,59.78,45.58,55.64,42.26,46.65,19.51,72.13,70.69,65.25,100,94.9,76.24,69.9,59.78,89.14,43.46,55.09,44.35,23.41,68.93,7.51,18.56,65.95,38.63,22.41,80.79,70.48,63.43,0.07,38.95,72.13,70.69,,,,,,,,,,,,,,,,,,,Yale EPI
ARM,Armenia,2018,62.07,56.85,53.55,61.94,69.06,65.56,79.57,,49.82,66.93,84.51,33.19,36.71,60.04,69.52,58.86,65.02,69.06,,99.99,100,58.27,27.75,92.27,73.6,,,47.73,49.82,50.83,52.35,64.18,97.85,36,84.51,33.19,,,,,,,,,,,,,,,,,,,Yale EPI
AUS,Australia,2018,74.12,97.95,100,98.44,68.34,58.23,84.64,58.48,48.18,38.85,99.44,37.79,100,100,100,100,96.88,68.34,100,83.66,77.19,89.41,58.72,87.12,10.54,16.96,100,48.06,45.12,49.6,44.46,59.69,35.8,41.89,99.44,37.79,,,,,,,,,,,,,,,,,,,Yale EPI
AUT,Austria,2018,78.97,86.38,82.21,94.63,91.08,74.03,91.69,,62.79,86.31,99.08,71.34,86.88,77.05,81.13,90.4,98.85,91.08,,100,100,77.44,94.06,84.54,27.6,,,49.89,65.06,99,49.55,51.13,92.29,80.33,99.08,71.34,,,,,,,,,,,,,,,,,,,Yale EPI
AZE,Azerbaijan,2018,62.33,48.55,47.44,48.53,63.09,71.52,63.15,,73.44,95.36,76.03,39.76,30.57,53.14,64.22,45.77,51.28,63.09,,50.68,61.95,83.61,16.85,95.91,74.2,,,99.99,37.47,31.35,93.74,100,93.51,97.21,76.03,39.76,,,,,,,,,,,,,,,,,,,Yale EPI
BHS,Bahamas,2018,54.99,73.68,84.19,55.4,46.81,42.52,86.22,58.04,18.76,10.6,64.44,7.72,60.47,100,100,57.13,53.67,46.81,78.71,99.41,99.42,65.69,76.36,99.39,16.44,67.96,48.12,0,,63.15,98.53,24.02,16.38,4.82,64.44,7.72,,,,,,,,,,,,,,,,,,,Yale EPI
BHR,Bahrain,2018,55.15,65.28,67.81,63.06,45.62,48.41,33.26,45.54,44.31,59.38,96.54,36.22,73.54,62.48,65.5,66.5,59.62,45.62,83.47,15.84,15.84,,2.53,,,70.67,20.4,29.21,35.85,63,100,98.66,84.45,34.32,96.54,36.22,,,,,,,,,,,,,,,,,,,Yale EPI
BGD,Bangladesh,2018,29.56,11.96,4.12,28.47,14.72,41.29,53.58,66.86,46.95,40.22,0,37.82,10.31,0,0,28.02,28.92,14.72,94.02,19.35,81.37,23.58,6.54,92.57,12.13,98.13,35.58,44.11,31.44,65.32,64.09,46.83,52.91,27.53,0,37.82,,,,,,,,,,,,,,,,,,,Yale EPI
BRB,Barbados,2018,55.76,84.73,100,55.64,60.69,36.45,27.14,46.76,34.57,40.21,64.44,10.23,100,100,100,56.35,54.93,60.69,45.6,6.08,6.08,,74.46,,,42.52,51,32.8,,30.46,58.11,52.2,43.66,36.77,64.44,10.23,,,,,,,,,,,,,,,,,,,Yale EPI
BLR,Belarus,2018,64.98,69.55,69.71,68.66,72.8,61.94,65.61,,64.73,72.33,97.54,28.1,68.5,69.55,71.47,66.13,71.2,72.8,,62.03,62.03,72.6,40.37,91.21,15.34,,,73.1,39.38,70.2,74.98,50.24,72.06,72.6,97.54,28.1,,,,,,,,,,,,,,,,,,,Yale EPI
BEL,Belgium,2018,77.38,89.37,88.63,96.09,58.6,69.39,95.7,46.69,63.81,79.02,98.08,47.61,96.74,79.83,86.6,96.26,95.93,58.6,100,100,100,100,82.9,74.09,15.61,60.47,32.91,51.92,58.18,99.03,47.36,80.78,93.08,64.97,98.08,47.61,,,,,,,,,,,,,,,,,,,Yale EPI
BLZ,Belize,2018,57.79,65.09,74.73,46.74,49.86,52.93,93.47,44.27,45.03,39.57,59,25.14,36.82,100,100,48.06,45.42,49.86,100,100,100,99.88,100,34.99,5.11,58.91,29.64,52.03,,20.65,39.87,49.77,38.4,40.74,59,25.14,,,,,,,,,,,,,,,,,,,Yale EPI
BEN,Benin,2018,38.17,36.36,50.66,6.37,30.23,39.37,75.08,48.18,34.35,25.05,10.7,31.11,6.23,81.35,79.22,6.13,6.62,30.23,0,100,100,98.42,67.73,86.21,3.49,74.62,21.74,29.23,23.13,59.02,46.82,19.27,39.78,10.32,10.7,31.11,,,,,,,,,,,,,,,,,,,Yale EPI
BTN,Bhutan,2018,47.22,35.27,36.89,32.6,30.28,55.18,96.3,,43.76,48.28,0,33.15,24.94,41.52,48.2,30.3,34.9,30.28,,100,100,99.55,74.78,96.51,59.79,,,29.76,,81.53,82.97,49.38,45.77,50.79,0,33.15,,,,,,,,,,,,,,,,,,,Yale EPI
BOL,Bolivia,2018,55.98,61.64,70.92,44.57,43.51,52.21,88.58,,33.49,38.72,63.66,54.41,30.12,100,96.22,44.96,44.18,43.51,,97.22,97.06,86,73.36,74.69,18.38,,,23.33,34.36,54.79,51.77,28.1,56.25,21.18,63.66,54.41,,,,,,,,,,,,,,,,,,,Yale EPI
BIH,Bosnia and Herzegovina,2018,41.84,63.87,60.37,71.54,63.39,27.15,26.93,,26.8,30.79,0,33.09,28.68,80.39,82.59,74.44,68.63,63.39,,8.1,13.54,11.13,61.68,88.18,49.31,,,16.3,25.09,51.46,39.04,27.86,19,42.57,0,33.09,,,,,,,,,,,,,,,,,,,Yale EPI
BWA,Botswana,2018,51.7,37.19,43.33,21.8,49.65,61.37,98.31,,47.24,42.46,49.56,30.36,24.29,52.48,59.58,21.5,22.09,49.65,,100,100,95.29,100,95.91,57.67,,,38.41,14.56,100,67.73,34.72,52.57,32.35,49.56,30.36,,,,,,,,,,,,,,,,,,,Yale EPI
BRA,Brazil,2018,60.7,67.44,78.78,45.91,49.19,56.21,88.17,81.42,33.24,37.55,81.08,58.83,55.19,100,89.01,43.46,48.37,49.19,94.88,99.88,99.49,89.38,69.8,44.69,12.43,62.84,100,21.07,25.51,68.37,54.38,24.27,52.49,22.6,81.08,58.83,,,,,,,,,,,,,,,,,,,Yale EPI
BRN,Brunei Darussalam,2018,63.57,96.66,98.76,94.9,79.92,41.52,81.58,50.27,27.42,2.51,39.76,29.92,100,100,95.87,98.88,90.93,79.92,59.2,100,100,99.89,18.34,79.24,21.47,68.93,31.61,2.92,50.28,33.21,95.3,89.87,2.62,2.41,39.76,29.92,,,,,,,,,,,,,,,,,,,Yale EPI
BGR,Bulgaria,2018,67.85,69.6,68.49,71.26,74.15,66.68,93.39,62.17,56.04,52.91,93.93,43.68,41.64,85.44,87.33,76.35,66.18,74.15,98.4,99.87,99.79,100,54.48,83.33,34.38,54.73,69.61,67.1,35.93,62.4,5.35,51.16,49.15,56.66,93.93,43.68,,,,,,,,,,,,,,,,,,,Yale EPI
BFA,Burkina Faso,2018,42.83,44.22,61.85,8.45,29.78,41.91,85.54,,26.24,28.47,0,28.42,4.63,100,99.99,8.19,8.71,29.78,,92.32,92.32,88.94,51.69,85.45,,,,25.38,,37.59,19.24,0,30.57,26.37,0,28.42,,,,,,,,,,,,,,,,,,,Yale EPI
BDI,Burundi,2018,27.43,25.69,36.92,0.86,28.7,28.59,53.67,,16.18,38.18,0,21.06,4.25,54.01,63.38,0.95,0.77,28.7,,46.52,46.86,57.45,37.09,90.6,25.87,,,16.26,,17.05,26.74,0.99,41.15,35.2,0,21.06,,,,,,,,,,,,,,,,,,,Yale EPI
KHM,Cambodia,2018,43.23,39.81,41.91,35.26,39.84,45.51,80.53,49.61,47.63,37.52,0,47.46,7.72,62.51,66.9,34.43,36.09,39.84,68.07,100,100,99.04,45.6,25.44,0,50.57,48.66,39.97,67.36,49.66,52.46,32.43,43.37,31.68,0,47.46,,,,,,,,,,,,,,,,,,,Yale EPI
CMR,Cameroon,2018,40.81,39.18,50.54,13.45,45.84,41.9,49.56,47.54,58.53,33.71,0,31.05,7.42,79.1,79.47,13.2,13.7,45.84,0,57.64,64,63.44,40.3,85.15,22.75,74.62,20.45,73.97,32.29,58.59,25.52,41.78,30.07,37.35,0,31.05,,,,,,,,,,,,,,,,,,,Yale EPI
CAN,Canada,2018,72.18,97.51,99.28,94.69,91.49,55.29,83.2,42.23,39.88,44.25,96.35,61.78,100,100,97.59,89.38,100,91.49,82.22,100,100,71.31,44.02,80.91,11.57,51.6,32.86,35.38,67.21,26.44,33.86,35.24,49.84,38.66,96.35,61.78,,,,,,,,,,,,,,,,,,,Yale EPI
CPV,Cabo Verde,2018,56.94,60.9,70.81,40.66,53.47,54.3,20.67,62.23,69.56,72.99,82.2,21.9,27.03,100,100,39.9,41.42,53.47,0,13.26,13.26,25.56,2.69,99.85,,70.49,53.96,64.12,,88.79,82,56.23,73.64,72.33,82.2,21.9,,,,,,,,,,,,,,,,,,,Yale EPI
CAF,Central African Republic,2018,36.42,29.16,42.93,0,25.01,41.26,89.6,,17.55,40.31,0,21.83,0,68.91,74.2,0,0,25.01,,100,100,84.15,49.99,98.48,43.52,,,24.33,,0.4,0.35,8.39,48.21,32.41,0,21.83,,,,,,,,,,,,,,,,,,,Yale EPI
TCD,Chad,2018,45.34,41.36,60.82,0.32,34.67,47.99,72.22,,49.62,78.57,0,28.9,2.52,100,99.36,0.25,0.38,34.67,,68.09,77.36,83.64,28.36,91.21,9.46,,,55.08,,36.24,34.03,42.23,78.88,78.25,0,28.9,,,,,,,,,,,,,,,,,,,Yale EPI
CHL,Chile,2018,57.49,73.73,69.22,79.61,97.15,46.66,69.79,51.01,37.37,3.37,98.55,32.52,65.17,70.97,72.86,79.41,79.81,97.15,100,61.65,43.29,67.31,65.19,88.18,10.83,55.85,46.18,26.05,11.13,84.75,74.68,28.62,5.42,1.32,98.55,32.52,,,,,,,,,,,,,,,,,,,Yale EPI
CHN,China,2018,50.74,31.72,14.39,68.24,38.02,63.42,72.57,70.41,68.62,57.08,80.2,34.64,25.85,1.05,12.44,66.82,69.66,38.02,89.28,67.65,83.05,72.21,29.46,71.81,21.89,90.52,50.3,63.24,45.59,99,99.89,61.84,60.12,54.05,80.2,34.64,,,,,,,,,,,,,,,,,,,Yale EPI
COL,Colombia,2018,65.22,71.05,77.01,59.96,60.12,61.33,81.37,92.93,50.1,56.76,77.21,9.6,44.78,100,97.01,63.79,56.12,60.12,88.43,82.84,78.16,84.27,77.84,68.48,27.88,85.87,100,44.35,29.47,78.62,78.08,48.13,59.62,53.89,77.21,9.6,,,,,,,,,,,,,,,,,,,Yale EPI
COM,Comoros,2018,44.24,47.06,64.38,10,44.3,42.37,55.8,57.81,49.44,30.02,26.32,18.05,10.95,100,100,9.37,10.63,44.3,55.3,55.8,55.8,72.18,20.47,59.39,12.66,73.57,42.05,57.09,,30.41,49.05,18.77,33.35,26.68,26.32,18.05,,,,,,,,,,,,,,,,,,,Yale EPI
CRI,Costa Rica,2018,67.85,76.44,84.43,62.78,54.45,62.13,87.71,69.69,59.29,58.15,64.78,6.04,61.08,100,100,68.08,57.48,54.45,80.49,94.39,87.09,98.86,82.97,72.42,28.49,71.96,67.41,58.7,79.09,56.64,55.75,0.07,64.39,51.91,64.78,6.04,,,,,,,,,,,,,,,,,,,Yale EPI
CIV,CÃƒÂ´te d'Ivoire,2018,45.25,39.55,53.88,9.53,33.42,49.05,83.66,59.69,38.57,51.38,44.63,19.83,5.15,86.69,86.04,9.53,9.53,33.42,69.89,100,100,99.45,66.61,31.35,0,74.62,44.75,39.2,37.24,39.41,60.67,12.1,63.77,38.99,44.63,19.83,,,,,,,,,,,,,,,,,,,Yale EPI
HRV,Croatia,2018,65.45,67.04,64.07,70.01,87.84,64.39,95.25,54.55,54.41,43.23,86.58,47.68,48.68,72.84,75.83,74.08,65.94,87.84,99.04,100,100,99.99,65.62,88.79,34.36,92.25,16.85,57.84,62.12,45.56,56.38,22.73,49.32,37.14,86.58,47.68,,,,,,,,,,,,,,,,,,,Yale EPI
CUB,Cuba,2018,63.42,75.76,86.47,57.5,46.03,55.2,74.37,49.23,49.15,75.32,72.52,13.59,66.18,100,100,58.2,56.8,46.03,94.2,60.75,65.31,79.17,49.29,95.61,14.72,34.23,64.23,44.48,33.45,62.9,55.53,97.24,59.67,90.98,72.52,13.59,,,,,,,,,,,,,,,,,,,Yale EPI
CYP,Cyprus,2018,72.6,87.96,87.5,92.35,67.57,62.37,81.66,52.55,66.26,49.65,79.34,6.29,90.12,85.49,86.02,92.35,92.34,67.57,68.14,100,100,99.55,21.21,59.99,36.06,26.64,78.47,62.53,45.11,92.22,56.04,94.5,56.67,42.62,79.34,6.29,,,,,,,,,,,,,,,,,,,Yale EPI
CZE,Czech Republic,2018,67.68,68.69,65.77,69.98,98.82,67.01,94.96,,54.65,57.07,95.77,62.17,72.86,56.56,65.55,75,64.96,98.82,,100,100,100,72.89,86.82,17.8,,,59.61,44.24,60.13,41.66,37.81,57.5,56.64,95.77,62.17,,,,,,,,,,,,,,,,,,,Yale EPI
COD,Dem. Rep. Congo,2018,30.41,19.7,22.57,10.01,40.47,37.56,67.79,,34.26,40.16,0,22.39,5.97,31.83,35.45,9.8,10.21,40.47,,70.4,70.32,71.39,40.36,77.72,14.43,,,17.7,100,22.42,17.25,1.31,48.66,31.66,0,22.39,,,,,,,,,,,,,,,,,,,Yale EPI
DNK,Denmark,2018,81.6,98.2,99.16,97.78,88.3,70.53,94.48,50.75,67.56,71,98.45,67.02,99.75,100,97.53,99.13,96.43,88.3,100,100,100,100,51.51,93.33,12.74,51.54,49.96,69.4,65.72,73.72,40.37,59,96.8,45.21,98.45,67.02,,,,,,,,,,,,,,,,,,,Yale EPI
DJI,Djibouti,2018,40.04,52.89,69.73,19.3,35.47,31.47,28.88,47.92,46.4,11.01,0,25.79,25.18,100,98.85,19.52,19.08,35.47,70.18,7.85,7.85,7.71,10.83,90.76,,74.62,21.22,43.69,,60.06,54.26,21.92,11.65,10.36,0,25.79,,,,,,,,,,,,,,,,,,,Yale EPI
DMA,Dominica,2018,59.38,69.45,80.39,50.64,40.18,52.67,79.21,51.06,51.78,31.59,35.78,0,50.97,100,100,51.03,50.25,40.18,58.92,81.31,86.99,,100,,54.93,58.27,43.84,51.23,,50.22,63.77,53.59,39.35,23.82,35.78,0,,,,,,,,,,,,,,,,,,,Yale EPI
DOM,Dominican Republic,2018,64.71,64.86,77.96,42.4,29.34,64.61,87.06,74.5,61.27,65.46,90.17,8.11,44.9,100,100,45.1,39.7,29.34,97.28,82.81,97.55,96.45,58.36,64.08,10.42,95.65,53.35,67.64,42.08,62.15,66.09,65.89,66.52,64.39,90.17,8.11,,,,,,,,,,,,,,,,,,,Yale EPI
ECU,Ecuador,2018,57.42,72.58,82.97,52.2,59.87,47.31,84.08,62.01,46.8,25.92,0,12.76,57.48,100,99.93,50.12,54.28,59.87,100,91.16,72.01,85.38,69.78,73.93,28.22,68.98,55.04,36.32,46.63,70.96,58.1,44.23,30.44,21.4,0,12.76,,,,,,,,,,,,,,,,,,,Yale EPI
EGY,Egypt,2018,61.21,68.61,88.88,32.78,20.03,56.28,62.39,37.92,55.68,47.55,86.32,46.15,82.79,94.35,91.55,31.46,34.09,20.03,91.36,72.34,44.06,48.05,15.3,96.97,44.95,69.88,5.96,51.56,45.92,67.94,68.16,74.33,34.97,60.13,86.32,46.15,,,,,,,,,,,,,,,,,,,Yale EPI
SLV,El Salvador,2018,53.91,63.99,76.15,42.34,35.85,47.19,69.06,0,63.47,28.11,50.5,12.5,40.51,100,99.81,40.27,44.4,35.85,80.59,63.45,55.72,83.09,40.95,83.94,23.99,0,0,68.81,60.04,62.53,55.33,35.75,23.42,32.79,50.5,12.5,,,,,,,,,,,,,,,,,,,Yale EPI
GNQ,Equatorial Guinea,2018,60.4,49.66,57.18,31.89,58.55,67.55,87.76,64.46,70.08,99.97,52.51,16.38,18.98,78.41,86.88,32.7,31.09,58.55,72.18,100,100,99.48,52.49,81.81,20.76,84.87,44.06,65.62,,72.01,99.09,95.85,99.94,100,52.51,16.38,,,,,,,,,,,,,,,,,,,Yale EPI
ERI,Eritrea,2018,39.34,46.12,64.88,7.09,36.46,34.81,27.52,94.09,29.57,43.47,0,36.51,12.8,100,99.2,6.92,7.26,36.46,0,28.6,28.07,24.54,15.49,97.27,,88.19,100,46.26,0.89,23.12,7.91,24.86,40.88,46.06,0,36.51,,,,,,,,,,,,,,,,,,,Yale EPI
EST,Estonia,2018,64.31,73.24,78.87,58.45,88.82,58.35,92.39,76.04,33.62,54.29,96.42,40.75,47.2,100,99.97,57.61,59.29,88.82,100,100,100,100,46.02,77.87,4.56,98.57,53.52,27.24,33.22,45.84,35.02,48.67,48.27,60.31,96.42,40.75,,,,,,,,,,,,,,,,,,,Yale EPI
ETH,Ethiopia,2018,44.78,32.8,43.66,9.35,32.22,52.77,78.99,,64.18,37.81,0,35.52,7.57,63.4,72.04,8.68,10.02,32.22,,86.18,80.7,82.14,38.41,95.45,29.39,,,72.7,100,33.48,18.05,4.53,47.28,28.34,0,35.52,,,,,,,,,,,,,,,,,,,Yale EPI
FJI,Fiji,2018,53.09,61.7,70.36,39.93,79.74,47.35,46.45,64.97,56.91,17.73,64.8,18.78,25.89,100,100,42.29,37.57,79.74,82.67,25.84,26.53,48.66,8.63,88.48,29.72,73.33,56.6,58.66,,56.49,52.94,37.98,20.81,14.65,64.8,18.78,,,,,,,,,,,,,,,,,,,Yale EPI
FIN,Finland,2018,78.64,99.35,99,100,100,64.83,89.25,61.11,62.33,49.1,97.01,49.97,97.5,100,100,100,100,100,100,100,100,96.13,39.23,61.05,5.98,95.02,27.2,53.97,60.17,91.26,44.58,56.55,51.88,46.32,97.01,49.97,,,,,,,,,,,,,,,,,,,Yale EPI
FRA,France,2018,83.95,95.71,95.97,97.22,83.29,76.11,96.25,57.71,70.46,96.82,95.56,67.77,99.26,95.46,92.1,95.77,98.66,83.29,100,100,100,99.97,74.05,88.48,25.08,78.37,37.05,57.58,92.56,83.95,51.05,76.37,95.62,98.01,95.56,67.77,,,,,,,,,,,,,,,,,,,Yale EPI
GAB,Gabon,2018,45.05,43.04,51.5,22.23,57.99,46.39,86.17,58.15,30.71,53.75,0,12.36,34.07,60.59,65.66,21.64,22.81,57.99,81.34,89.66,93.93,95.1,45.18,96.51,38.22,48.05,68.25,22.47,21.68,59.97,44.81,18.04,39.12,68.39,0,12.36,,,,,,,,,,,,,,,,,,,Yale EPI
GMB,Gambia,2018,42.42,47.99,63.14,16.8,38.15,38.72,43.12,49.94,36.67,41.36,26.32,26.02,7.84,100,100,16.34,17.27,38.15,59.81,23.57,31.64,33.43,44.32,90,,74.62,25.26,45.83,,6.07,40.63,26.81,50.52,32.21,26.32,26.02,,,,,,,,,,,,,,,,,,,Yale EPI
GEO,Georgia,2018,55.69,57.1,54.93,59.93,68.28,54.75,62.33,27.36,48.41,48.55,81.51,5.7,22.1,73.81,79.83,56.8,63.06,68.28,80.97,48.17,47.17,66.51,42.37,95.3,86.2,54.73,0,28.36,72.7,67.42,52.67,71.41,33.38,63.72,81.51,5.7,,,,,,,,,,,,,,,,,,,Yale EPI
DEU,Germany,2018,78.37,88.68,84.09,96.74,100,71.5,96.92,47.71,55.47,93.3,99.65,61.21,85.03,81.8,85.12,95.36,98.11,100,100,100,100,100,83.28,85.91,34.99,36.89,58.54,41.41,37.27,99.38,57.9,90.9,88.16,98.44,99.65,61.21,,,,,,,,,,,,,,,,,,,Yale EPI
GHA,Ghana,2018,49.66,44.42,52.37,26.52,48.46,53.15,77.96,55.19,57.59,40.5,53.73,28.76,10.23,79.03,81.89,26.05,26.99,48.46,67.12,78.96,82.74,90.27,57.2,84.24,0,57.06,53.33,54.11,46.09,79.52,72.55,35.71,43.33,37.67,53.73,28.76,,,,,,,,,,,,,,,,,,,Yale EPI
GRC,Greece,2018,73.6,91.03,89.23,100,60.77,61.98,90.89,63.74,42.17,46.41,97.72,49.5,88.17,90.77,89.09,100,100,60.77,86.03,100,100,100,47.3,89.54,33.42,46.53,80.95,41.93,44.22,46.9,0.19,59.46,50.32,42.5,97.72,49.5,,,,,,,,,,,,,,,,,,,Yale EPI
GRD,Grenada,2018,50.93,69.82,82.88,48.26,29.37,38.34,56.78,44.76,21.61,30.55,64.44,0.76,57.2,100,100,48.77,47.74,29.37,61.02,52.9,35.2,,99.19,,36.44,58.27,31.25,15.3,,27.03,86.54,23.42,35.16,25.94,64.44,0.76,,,,,,,,,,,,,,,,,,,Yale EPI
GTM,Guatemala,2018,52.33,54.97,68.3,29.5,34.42,50.57,65.13,59.62,57.46,30.23,72.59,14.55,21.57,100,98.92,28.21,30.78,34.42,81.95,79.52,50.5,74.37,78.61,0,0.77,80.07,39.18,55.55,60.89,64.25,54.25,39.01,31.57,28.9,72.59,14.55,,,,,,,,,,,,,,,,,,,Yale EPI
GIN,Guinea,2018,46.62,45.02,60.77,12.79,33.56,47.69,83.29,58.92,37.24,31.6,51.13,30.5,2.16,100,99.68,12.69,12.89,33.56,78.98,99.71,93.64,89.32,26.74,82.88,0,96.2,21.63,48.89,,12.16,9.95,1.75,39.66,23.55,51.13,30.5,,,,,,,,,,,,,,,,,,,Yale EPI
GNB,Guinea-Bissau,2018,44.67,43.6,60.5,10.01,25.37,45.38,85.77,36.45,53.23,32.8,0,20.94,1.26,100,100,9.61,10.42,25.37,99.03,96.64,99.62,78.01,42.17,68.93,0,39.85,33.04,66.94,,23.41,11.95,21.9,38.82,26.78,0,20.94,,,,,,,,,,,,,,,,,,,Yale EPI
GUY,Guyana,2018,47.93,61.55,75.49,38.67,17.58,38.86,54.32,52.86,34.82,32.14,0,29.4,38.71,100,100,40.6,36.74,17.58,33.89,50.45,51.06,39.01,100,94.39,48.62,61.32,44.4,31.63,,37.25,43.99,60.54,32.86,31.42,0,29.4,,,,,,,,,,,,,,,,,,,Yale EPI
HTI,Haiti,2018,33.74,45.24,62.21,15.45,3.46,26.08,14.39,62.75,42.53,20.76,0,10.83,5.52,100,100,15.04,15.87,3.46,0,1.58,2.86,23.13,45.42,43.32,8.29,86.81,38.7,60.02,6.34,41.26,38.46,21.62,28.8,12.71,0,10.83,,,,,,,,,,,,,,,,,,,Yale EPI
HND,Honduras,2018,51.51,55.95,68.9,34.06,19.01,48.54,84.11,54.38,46.02,17.68,56.32,10.21,22.25,100,100,33.85,34.26,19.01,94.12,88.66,94.35,93.18,77.28,23.17,3.59,76.1,32.66,47.93,45.02,44.2,47.37,36.73,23.43,11.93,56.32,10.21,,,,,,,,,,,,,,,,,,,Yale EPI
HUN,Hungary,2018,65.01,57.67,52.3,66.26,75.88,69.9,91.7,,61.68,75.22,93.42,69.15,42.86,52.56,64.63,67.84,64.68,75.88,,100,100,100,45.26,88.33,11.64,,,65.45,49.66,66.35,64.01,50.92,95.18,55.26,93.42,69.15,,,,,,,,,,,,,,,,,,,Yale EPI
ISL,Iceland,2018,78.57,98.41,98.55,100,86.99,65.34,75.77,39.3,61.96,49.11,94.47,59.78,96.39,100,100,100,100,86.99,75.62,68.5,68.5,81.01,70.41,100,,36.11,42.48,51.59,100,50.52,50.75,70.51,7.39,90.83,94.47,59.78,,,,,,,,,,,,,,,,,,,Yale EPI
IND,India,2018,30.57,9.32,5.75,15.8,16.77,44.74,49.13,59.37,44.77,37.49,58.83,21.98,12.69,0,2.26,16.06,15.53,16.77,79.19,30.03,36.04,51.34,12.36,85.75,23.54,86.3,32.45,38.82,17.66,80.1,67.49,48.7,32.6,42.37,58.83,21.98,,,,,,,,,,,,,,,,,,,Yale EPI
IDN,Indonesia,2018,46.92,45.44,52.04,31.41,43.84,47.9,70.4,62.54,53.43,47.62,13.6,37.98,25.2,67.03,72.85,32.94,29.88,43.84,90.87,69.82,75.84,77.57,29.69,46.05,0.01,76.11,48.96,58.29,28.25,64.9,62.46,50.63,44.02,51.21,13.6,37.98,,,,,,,,,,,,,,,,,,,Yale EPI
IRN,Iran,2018,58.16,74.01,85.12,58.74,21.21,47.59,51.89,45.73,35.93,20.07,64.32,32.91,84.14,86.08,85.46,62.45,55.03,21.21,81.95,41.05,36.91,45.59,12.15,95.76,91.8,77.63,13.82,27.64,30.89,52.78,78.8,28.7,31.66,8.49,64.32,32.91,,,,,,,,,,,,,,,,,,,Yale EPI
IRQ,Iraq,2018,43.2,61.46,72.91,41.05,35.11,31.02,28.39,,19.73,36.33,70.21,22.96,54.89,84.04,85.8,41.69,40.41,35.11,,8.62,49.47,4.73,3.48,98.03,,,,7.18,0,57.46,65.1,27.83,44.77,27.89,70.21,22.96,,,,,,,,,,,,,,,,,,,Yale EPI
IRL,Ireland,2018,78.77,95.92,95.78,100,73.18,67.34,88.63,71.14,54.16,87.23,91.19,61.94,89.46,100,100,100,100,73.18,89.32,86.62,86.62,99.95,64.46,96.82,8.78,76.24,66.05,61.69,51.74,32.42,39.66,89.91,86.01,88.45,91.19,61.94,,,,,,,,,,,,,,,,,,,Yale EPI
ISR,Israel,2018,75.01,94.14,95.67,92.03,86.92,62.25,59.33,85.34,57.09,75.82,99.49,26.03,92.19,100,95.96,89.53,94.54,86.92,58.29,77.62,52.9,60.8,17.64,76.51,29.26,70.67,100,48.52,42.6,74,90.41,99.71,87.06,64.59,99.49,26.03,,,,,,,,,,,,,,,,,,,Yale EPI
ITA,Italy,2018,76.96,85.88,80.56,100,70.23,71.02,94.1,37.99,65.14,88.55,97.53,49.03,92.69,69.67,75.28,100,100,70.23,95.77,100,100,99.98,60.57,88.94,30.96,17.27,58.71,55.89,58.02,94.86,69.34,63.03,86.99,90.12,97.53,49.03,,,,,,,,,,,,,,,,,,,Yale EPI
