country_name,iso,year,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),data_source
Brunei Darussalam,BRN,2003,,35277.80234,12463471178,World Bank
Cambodia,KHM,2003,,575.3292406,7396531099,World Bank
"Micronesia, Fed. Sts.",FSM,2003,,3034.523286,324396608.3,World Bank
Fiji,FJI,2003,,4339.277817,3541189162,World Bank
Georgia,GEO,2003,36.7,1984.244331,7841209756,World Bank
"Hong Kong SAR, China",HKG,2003,,28096.96195,1.89115E+11,World Bank
India,IND,2003,,845.2748445,9.39543E+11,World Bank
Indonesia,IDN,2003,31.9,2034.761462,4.48277E+11,World Bank
Japan,JPN,2003,,31830.21758,4.06529E+12,World Bank
Kazakhstan,KAZ,2003,33.7,6046.328017,90144819288,World Bank
Kyrgyz Republic,KGZ,2003,28.7,786.35182,3965808134,World Bank
Kiribati,KIR,2003,,1539.165384,136739452.8,World Bank
Lao PDR,LAO,2003,,1061.306426,5918523870,World Bank
Malaysia,MYS,2003,46.4,6727.671042,1.66166E+11,World Bank
Maldives,MDV,2003,,7553.291477,2286237818,World Bank
Marshall Islands,MHL,2003,,3081.137193,164733000,World Bank
Mongolia,MNG,2003,,1783.998762,4404273705,World Bank
Myanmar,MMR,2003,,426.9196058,20555712395,World Bank
Nauru,NRU,2003,,,,World Bank
Nepal,NPL,2003,43.8,585.406948,14682521414,World Bank
New Zealand,NZL,2003,,33487.62421,1.34861E+11,World Bank
Pakistan,PAK,2003,,1074.394079,1.64483E+11,World Bank
Palau,PLW,2003,,12097.11286,239668000,World Bank
Papua New Guinea,PNG,2003,,1803.42051,11223367529,World Bank
China,CHN,2003,,2797.171718,3.60388E+12,World Bank
Philippines,PHL,2003,46.6,1931.108801,1.60382E+11,World Bank
"Korea, Rep.",KOR,2003,,19431.97111,9.30642E+11,World Bank
Samoa,WSM,2003,,3746.184282,664876532.6,World Bank
Singapore,SGP,2003,,36688.89809,1.50968E+11,World Bank
Solomon Islands,SLB,2003,,1705.958607,762590792.8,World Bank
Sri Lanka,LKA,2003,,2037.282047,39164783407,World Bank
Tajikistan,TJK,2003,32.7,556.2689651,3638861249,World Bank
Thailand,THA,2003,,4037.971135,2.6065E+11,World Bank
Timor-Leste,TLS,2003,,933.5706988,884194144.5,World Bank
Tonga,TON,2003,,4020.143668,400370128,World Bank
Turkmenistan,TKM,2003,,2397.896383,11164010880,World Bank
Tuvalu,TUV,2003,,2948.641532,28672590.25,World Bank
Uzbekistan,UZB,2003,35.3,1389.587208,35528479368,World Bank
Vanuatu,VUT,2003,,2518.566,501093891.4,World Bank
Vietnam,VNM,2003,,1121.491894,92300633302,World Bank
Afghanistan,AFG,2004,,322.6680095,7978511521,World Bank
Armenia,ARM,2004,37.5,2062.203233,6188084175,World Bank
Australia,AUS,2004,33.1,49439.12229,9.95081E+11,World Bank
Azerbaijan,AZE,2004,26.6,2077.812262,17259347554,World Bank
Bangladesh,BGD,2004,,732.7488409,1.00377E+11,World Bank
Bhutan,BTN,2004,,1409.647999,900495828.8,World Bank
Brunei Darussalam,BRN,2004,,34850.14422,12526326738,World Bank
Cambodia,KHM,2004,,624.6039215,8161371526,World Bank
"Micronesia, Fed. Sts.",FSM,2004,,2948.723517,314404696.3,World Bank
Fiji,FJI,2004,,4559.281467,3728872177,World Bank
Georgia,GEO,2004,36.2,2112.261319,8295568369,World Bank
"Hong Kong SAR, China",HKG,2004,,30304.14436,2.05568E+11,World Bank
India,IND,2004,34.4,897.6282327,1.01398E+12,World Bank
Indonesia,IDN,2004,32.7,2108.641795,4.70829E+11,World Bank
Japan,JPN,2004,,32515.1158,4.15416E+12,World Bank
Kazakhstan,KAZ,2004,31.8,6580.885049,98798721941,World Bank
Kyrgyz Republic,KGZ,2004,34.8,831.4843246,4244478032,World Bank
Kiribati,KIR,2004,,1486.347483,134511474.5,World Bank
Lao PDR,LAO,2004,,1111.724543,6294805595,World Bank
Malaysia,MYS,2004,,7043.776166,1.77437E+11,World Bank
Maldives,MDV,2004,,7788.166946,2424183785,World Bank
Marshall Islands,MHL,2004,,3052.661723,166296800,World Bank
Mongolia,MNG,2004,,1951.713418,4872245665,World Bank
Myanmar,MMR,2004,,481.2338553,23370876272,World Bank
Nauru,NRU,2004,,3431.636941,33993795.54,World Bank
Nepal,NPL,2004,,604.6595802,15370045638,World Bank
New Zealand,NZL,2004,,34322.63335,1.40294E+11,World Bank
Pakistan,PAK,2004,32.5,1129.136851,1.76896E+11,World Bank
Palau,PLW,2004,,12653.25512,251306300,World Bank
Papua New Guinea,PNG,2004,,1814.341665,11528775084,World Bank
China,CHN,2004,,3061.827764,3.96836E+12,World Bank
Philippines,PHL,2004,,2017.674162,1.70918E+11,World Bank
"Korea, Rep.",KOR,2004,,20361.06925,9.79011E+11,World Bank
Samoa,WSM,2004,,3894.953875,695627077.3,World Bank
Singapore,SGP,2004,,39790.32515,1.65793E+11,World Bank
Solomon Islands,SLB,2004,,1773.68089,813319598.5,World Bank
Sri Lanka,LKA,2004,,2130.138957,41297329863,World Bank
Tajikistan,TJK,2004,33.6,602.4359602,4013663919,World Bank
Thailand,THA,2004,42.5,4262.518807,2.77044E+11,World Bank
Timor-Leste,TLS,2004,,913.4077496,887730944.3,World Bank
Tonga,TON,2004,,3898.84051,390718402.9,World Bank
Turkmenistan,TKM,2004,,2492.296398,11722256910,World Bank
Tuvalu,TUV,2004,,2865.452832,28284884.9,World Bank
Uzbekistan,UZB,2004,,1475.969665,38174996011,World Bank
Vanuatu,VUT,2004,,2552.747477,521074473.2,World Bank
Vietnam,VNM,2004,36.8,1194.960504,99256788025,World Bank
Afghanistan,AFG,2005,,345.9258138,8874475612,World Bank
Armenia,ARM,2005,36,2364.175935,7048227876,World Bank
Australia,AUS,2005,,50332.87484,1.02653E+12,World Bank
Azerbaijan,AZE,2005,26.6,2631.758979,22085326590,World Bank
Bangladesh,BGD,2005,33.2,769.1359804,1.06937E+11,World Bank
Bhutan,BTN,2005,,1489.211777,966117205.2,World Bank
Brunei Darussalam,BRN,2005,,34441.12261,12574867157,World Bank
Cambodia,KHM,2005,,696.3394218,9242760346,World Bank
"Micronesia, Fed. Sts.",FSM,2005,42.4,3022.795709,320824422.5,World Bank
Fiji,FJI,2005,,4570.285876,3754974298,World Bank
Georgia,GEO,2005,37.4,2329.570854,9091078042,World Bank
"Hong Kong SAR, China",HKG,2005,,32401.20688,2.20756E+11,World Bank
India,IND,2005,,953.567973,1.09432E+12,World Bank
Indonesia,IDN,2005,33,2199.093914,4.97632E+11,World Bank
Japan,JPN,2005,,33098.54747,4.2291E+12,World Bank
Kazakhstan,KAZ,2005,39.8,7155.343663,1.08382E+11,World Bank
Kyrgyz Republic,KGZ,2005,32.6,820.7159801,4237028319,World Bank
Kiribati,KIR,2005,,1529.175871,141171987.2,World Bank
Lao PDR,LAO,2005,,1172.217346,6742213206,World Bank
Malaysia,MYS,2005,,7274.971097,1.86898E+11,World Bank
Maldives,MDV,2005,,6589.127171,2105911400,World Bank
Marshall Islands,MHL,2005,,3080.342762,170210500,World Bank
Mongolia,MNG,2005,,2068.398544,5225662065,World Bank
Myanmar,MMR,2005,,542.2191403,26541589503,World Bank
Nauru,NRU,2005,,3347.246194,32963680.52,World Bank
Nepal,NPL,2005,,617.7939891,15904797353,World Bank
New Zealand,NZL,2005,,35064.49646,1.44953E+11,World Bank
Pakistan,PAK,2005,32.7,1175.437453,1.88427E+11,World Bank
Palau,PLW,2005,,13205.50445,261257700,World Bank
Papua New Guinea,PNG,2005,,1887.673184,12260252335,World Bank
China,CHN,2005,40.9,3390.71017,4.42054E+12,World Bank
Philippines,PHL,2005,,2077.767983,1.79366E+11,World Bank
"Korea, Rep.",KOR,2005,,21193.35751,1.02119E+12,World Bank
Samoa,WSM,2005,,4031.45271,724540744,World Bank
Singapore,SGP,2005,,41726.11407,1.77994E+11,World Bank
Solomon Islands,SLB,2005,46.1,1826.661574,858381153.4,World Bank
Sri Lanka,LKA,2005,,2244.821288,43875005142,World Bank
Tajikistan,TJK,2005,,630.781964,4282579342,World Bank
Thailand,THA,2005,,4412.444295,2.88645E+11,World Bank
Timor-Leste,TLS,2005,,918.7274453,914253242.7,World Bank
Tonga,TON,2005,,3875.163686,391035017.2,World Bank
Turkmenistan,TKM,2005,,2786.773872,13250139963,World Bank
Tuvalu,TUV,2005,,2722.395982,27215792.63,World Bank
Uzbekistan,UZB,2005,,1560.292008,40828160981,World Bank
Vanuatu,VUT,2005,,2621.912898,548719175.2,World Bank
Vietnam,VNM,2005,,1273.345509,1.06748E+11,World Bank
Afghanistan,AFG,2006,,353.720597,9349917057,World Bank
Armenia,ARM,2006,29.7,2697.018983,7978593955,World Bank
Australia,AUS,2006,,50948.22497,1.05452E+12,World Bank
Azerbaijan,AZE,2006,,3501.041807,29704764264,World Bank
Bangladesh,BGD,2006,,809.4736327,1.14072E+11,World Bank
Bhutan,BTN,2006,,1572.462107,1033742879,World Bank
Brunei Darussalam,BRN,2006,,35455.63564,13127874565,World Bank
Cambodia,KHM,2006,,759.6475658,10238305796,World Bank
"Micronesia, Fed. Sts.",FSM,2006,,3042.158192,320564377.4,World Bank
Fiji,FJI,2006,,4619.734029,3824534591,World Bank
Georgia,GEO,2006,36.9,2563.543091,9947436743,World Bank
"Hong Kong SAR, China",HKG,2006,,34457.83319,2.36281E+11,World Bank
India,IND,2006,,1014.627641,1.18253E+12,World Bank
Indonesia,IDN,2006,34.3,2289.422012,5.25006E+11,World Bank
Japan,JPN,2006,,33531.51856,4.28714E+12,World Bank
Kazakhstan,KAZ,2006,30.2,7837.629145,1.19979E+11,World Bank
Kyrgyz Republic,KGZ,2006,37.4,837.1337991,4368499017,World Bank
Kiribati,KIR,2006,37,1495.663562,141102396.1,World Bank
Lao PDR,LAO,2006,,1252.693903,7323342511,World Bank
Malaysia,MYS,2006,44.8,7531.364872,1.97336E+11,World Bank
Maldives,MDV,2006,,8109.574119,2655796319,World Bank
Marshall Islands,MHL,2006,,3041.572671,169613300,World Bank
Mongolia,MNG,2006,,2216.922881,5672781982,World Bank
Myanmar,MMR,2006,,609.9960293,30073444131,World Bank
Nauru,NRU,2006,,3668.874079,36054025.57,World Bank
Nepal,NPL,2006,,630.6874562,16439932517,World Bank
New Zealand,NZL,2006,,35637.60724,1.49129E+11,World Bank
Pakistan,PAK,2006,,1216.555531,1.99543E+11,World Bank
Palau,PLW,2006,,13312.7603,260197900,World Bank
Papua New Guinea,PNG,2006,,1944.296233,12923525132,World Bank
China,CHN,2006,,3800.759082,4.98287E+12,World Bank
Philippines,PHL,2006,47.2,2149.329938,1.88902E+11,World Bank
"Korea, Rep.",KOR,2006,31.7,22192.18512,1.07495E+12,World Bank
Samoa,WSM,2006,,4084.642141,738805562.6,World Bank
Singapore,SGP,2006,,44082.29215,1.94022E+11,World Bank
Solomon Islands,SLB,2006,,1871.027827,900125293.2,World Bank
Sri Lanka,LKA,2006,39.7,2398.43236,47239468607,World Bank
Tajikistan,TJK,2006,,661.9430059,4582360034,World Bank
Thailand,THA,2006,41.8,4603.752447,3.02985E+11,World Bank
Timor-Leste,TLS,2006,,862.4159146,876591445,World Bank
Tonga,TON,2006,,3838.741973,390453801.1,World Bank
Turkmenistan,TKM,2006,,3056.916879,14704118675,World Bank
Tuvalu,TUV,2006,,2747.373162,27797921.65,World Bank
Uzbekistan,UZB,2006,,1656.222593,43870438111,World Bank
Vanuatu,VUT,2006,,2776.24735,595169130.6,World Bank
Vietnam,VNM,2006,35.8,1349.563698,1.14197E+11,World Bank
Afghanistan,AFG,2007,,392.7104656,10642666467,World Bank
Armenia,ARM,2007,31.2,3093.36934,9071661327,World Bank
Australia,AUS,2007,,52538.97558,1.09426E+12,World Bank
Azerbaijan,AZE,2007,,4326.961571,37130955330,World Bank
Bangladesh,BGD,2007,,856.0459472,1.22124E+11,World Bank
Bhutan,BTN,2007,38.1,1840.271602,1223546901,World Bank
Brunei Darussalam,BRN,2007,,35064.8667,13148167871,World Bank
Cambodia,KHM,2007,,824.8493502,11283900343,World Bank
"Micronesia, Fed. Sts.",FSM,2007,,3012.947104,314678221.4,World Bank
Fiji,FJI,2007,,4534.882858,3792001023,World Bank
Georgia,GEO,2007,38.1,2901.104094,11198720178,World Bank
"Hong Kong SAR, China",HKG,2007,,36371.45588,2.51556E+11,World Bank
India,IND,2007,,1075.994087,1.27313E+12,World Bank
Indonesia,IDN,2007,35.7,2402.667542,5.58318E+11,World Bank
Japan,JPN,2007,,33990.03603,4.35076E+12,World Bank
Kazakhstan,KAZ,2007,30.1,8438.104645,1.30657E+11,World Bank
Kyrgyz Republic,KGZ,2007,33.9,900.0255139,4741694418,World Bank
Kiribati,KIR,2007,,1491.476887,143973755.4,World Bank
Lao PDR,LAO,2007,35.4,1325.441644,7879684304,World Bank
Malaysia,MYS,2007,,7850.426535,2.09766E+11,World Bank
Maldives,MDV,2007,,8534.904233,2860660922,World Bank
Marshall Islands,MHL,2007,,3124.085573,175092500,World Bank
Mongolia,MNG,2007,35.8,2411.166549,6254129607,World Bank
Myanmar,MMR,2007,,681.8170593,33832770892,World Bank
Nauru,NRU,2007,,2824.812659,27813105.44,World Bank
Nepal,NPL,2007,,644.3944018,17000790724,World Bank
New Zealand,NZL,2007,,36375.78281,1.53644E+11,World Bank
Pakistan,PAK,2007,31.6,1246.579612,2.09186E+11,World Bank
Palau,PLW,2007,,13855.4674,265456900,World Bank
Papua New Guinea,PNG,2007,,2046.488498,13933523076,World Bank
China,CHN,2007,,4319.023769,5.69198E+12,World Bank
Philippines,PHL,2007,,2250.609385,2.01217E+11,World Bank
"Korea, Rep.",KOR,2007,,23360.90574,1.13729E+12,World Bank
Samoa,WSM,2007,,4314.96396,785517614.1,World Bank
Singapore,SGP,2007,,46098.42873,2.11527E+11,World Bank
Solomon Islands,SLB,2007,,1910.480958,940210725.5,World Bank
Sri Lanka,LKA,2007,,2542.593553,50450253148,World Bank
Tajikistan,TJK,2007,32.2,699.4219212,4939784122,World Bank
Thailand,THA,2007,39.8,4826.871477,3.19452E+11,World Bank
Timor-Leste,TLS,2007,27.8,932.6149467,966550939.4,World Bank
Tonga,TON,2007,,3816.764995,391512302.9,World Bank
Turkmenistan,TKM,2007,,3353.144774,16330291194,World Bank
Tuvalu,TUV,2007,,2892.968657,29563246.7,World Bank
Uzbekistan,UZB,2007,,1787.490213,48026287041,World Bank
Vanuatu,VUT,2007,,2789.798616,612260363.5,World Bank
Vietnam,VNM,2007,,1432.205814,1.22338E+11,World Bank
Afghanistan,AFG,2008,,398.9711165,11060389404,World Bank
Armenia,ARM,2008,29.2,3335.244164,9697605959,World Bank
Australia,AUS,2008,35.4,53338.60278,1.1334E+12,World Bank
Azerbaijan,AZE,2008,,4692.912192,41125866703,World Bank
Bangladesh,BGD,2008,,897.1890238,1.29468E+11,World Bank
Bhutan,BTN,2008,,1909.245906,1282270552,World Bank
Brunei Darussalam,BRN,2008,,33981.33703,12893130934,World Bank
Cambodia,KHM,2008,,867.1214601,12038971277,World Bank
"Micronesia, Fed. Sts.",FSM,2008,,2965.738151,307099219.8,World Bank
Fiji,FJI,2008,40.4,4532.013247,3831164590,World Bank
Georgia,GEO,2008,38.5,2980.309535,11469569250,World Bank
"Hong Kong SAR, China",HKG,2008,,36923.8554,2.56909E+11,World Bank
India,IND,2008,,1093.076551,1.31242E+12,World Bank
Indonesia,IDN,2008,35.2,2513.671592,5.91894E+11,World Bank
Japan,JPN,2008,34.8,33557.6454,4.29749E+12,World Bank
Kazakhstan,KAZ,2008,28.5,8554.823573,1.34969E+11,World Bank
Kyrgyz Republic,KGZ,2008,31.5,966.4153604,5140073377,World Bank
Kiribati,KIR,2008,,1427.325186,140962635.4,World Bank
Lao PDR,LAO,2008,,1405.123505,8496261938,World Bank
Malaysia,MYS,2008,45.5,8073.934416,2.19902E+11,World Bank
Maldives,MDV,2008,,9119.296448,3132004126,World Bank
Marshall Islands,MHL,2008,,2924.767653,164272500,World Bank
Mongolia,MNG,2008,,2587.777933,6810770154,World Bank
Myanmar,MMR,2008,,752.6491477,37579502495,World Bank
Nauru,NRU,2008,,3440.667565,33993795.54,World Bank
Nepal,NPL,2008,,676.4507099,18038627649,World Bank
New Zealand,NZL,2008,,35666.1902,1.51931E+11,World Bank
Pakistan,PAK,2008,,1239.420494,2.12745E+11,World Bank
Palau,PLW,2008,,13369.06136,250108400,World Bank
Papua New Guinea,PNG,2008,,1991.372961,13892216053,World Bank
China,CHN,2008,43,4711.635127,6.24129E+12,World Bank
Philippines,PHL,2008,,2309.726212,2.09959E+11,World Bank
"Korea, Rep.",KOR,2008,32.3,23882.7305,1.17156E+12,World Bank
Samoa,WSM,2008,42,4329.372926,793444176.2,World Bank
Singapore,SGP,2008,,44526.02174,2.15479E+11,World Bank
Solomon Islands,SLB,2008,,1976.315144,994809848.8,World Bank
Sri Lanka,LKA,2008,,2674.746321,53452087680,World Bank
Tajikistan,TJK,2008,,739.262575,5330026982,World Bank
Thailand,THA,2008,40.3,4884.417785,3.24965E+11,World Bank
Timor-Leste,TLS,2008,,1020.104008,1076646332,World Bank
Tonga,TON,2008,,3966.85949,410109801.5,World Bank
Turkmenistan,TKM,2008,,3794.922165,18730843999,World Bank
