iso,year,data_source,country_name,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims
NIU,2019,UNDESA,Niue,588,319,269,1.62,,,36.41,,,45.75,0,0
PAK,2019,UNDESA,Pakistan,3257978,1714663,1543315,216565.32,111447.58,105117.74,1.5,1.54,1.47,47.37,1396619,42.87
PLW,2019,UNDESA,Palau,5066,2875,2191,18.01,,,28.13,,,43.25,0,0
PNG,2019,UNDESA,Papua New Guinea,31212,18944,12268,8776.11,4480.01,4296.11,0.36,0.42,0.29,39.31,10018,32.1
PHL,2019,UNDESA,Philippines,218530,113239,105291,108116.62,54316.07,53800.55,0.2,0.21,0.2,48.18,672,0.31
KOR,2019,UNDESA,Republic of Korea,1163655,652746,510909,51225.31,25649.46,25575.86,2.27,2.54,2,43.91,11727,1.01
WSM,2019,UNDESA,Samoa,4035,2038,1997,197.1,102,95.09,2.05,2,2.1,49.49,3,0.07
SGP,2019,UNDESA,Singapore,2155653,950192,1205461,5804.34,3038.23,2766.12,37.14,31.27,43.58,55.92,0,0
SLB,2019,UNDESA,Solomon Islands,2532,1421,1111,669.82,340.58,329.24,0.38,0.42,0.34,43.88,3,0.12
LKA,2019,UNDESA,Sri Lanka,40018,20909,19109,21323.73,10233.42,11090.32,0.19,0.2,0.17,47.75,1434,3.58
TJK,2019,UNDESA,Tajikistan,274071,118207,155864,9321.02,4697.95,4623.07,2.94,2.52,3.37,56.87,2956,1.08
THA,2019,UNDESA,Thailand,3635085,1825505,1809580,69625.58,33904.85,35720.74,5.22,5.38,5.07,49.78,111457,3.07
TLS,2019,UNDESA,Timor-Leste,8417,5086,3331,1293.12,653.51,639.61,0.65,0.78,0.52,39.57,0,0
TON,2019,UNDESA,Tonga,3752,2048,1704,104.49,52.29,52.21,3.59,3.92,3.26,45.42,0,0
TKM,2019,UNDESA,Turkmenistan,195127,92240,102887,5942.09,2925.69,3016.41,3.28,3.15,3.41,52.73,22,0.01
TUV,2019,UNDESA,Tuvalu,238,131,107,11.65,,,2.04,,,44.96,0,0
UZB,2019,UNDESA,Uzbekistan,1168384,545048,623336,32981.72,16450.12,16531.6,3.54,3.31,3.77,53.35,20,0
VUT,2019,UNDESA,Vanuatu,3245,1612,1633,299.88,152.04,147.84,1.08,1.06,1.1,50.32,1,0.03
VNM,2019,UNDESA,Viet Nam,76104,44087,32017,96462.11,48151.35,48310.76,0.08,0.09,0.07,42.07,0,0
AFG,2020,UNDESA,   Afghanistan,144098,69189,74909,38928.34,19976.27,18952.08,0.37,0.35,0.4,51.98,72479,50.3
ARM,2020,UNDESA,   Armenia,190349,78085,112264,2963.23,1393.75,1569.49,6.42,5.6,7.15,58.98,18158,9.54
AUS,2020,UNDESA,   Australia*,7685860,3812187,3873673,25499.88,12698.63,12801.26,30.14,30.02,30.26,50.4,154129,2.01
AZE,2020,UNDESA,   Azerbaijan*,252228,121007,131221,10139.18,5064.66,5074.51,2.49,2.39,2.59,52.02,1288,0.51
BGD,2020,UNDESA,   Bangladesh,2115408,1093978,1021430,164689.38,83259.11,81430.28,1.28,1.31,1.25,48.29,854820,40.41
BTN,2020,UNDESA,   Bhutan,53612,45524,8088,771.61,410.09,361.53,6.95,11.1,2.24,15.09,,
