iso,year,data_source,country_name,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims
COK,2000,UNDESA,   Cook Islands,2785,1552,1233,17.935,,,15.52829663,,,,,
NIU,2000,UNDESA,   Niue,498,268,230,1.902,,,26.1829653,,,,,
WSM,2000,UNDESA,   Samoa,5998,3101,2897,174.454,90.882,83.572,3.438155617,3.412116811,3.466472024,,,
TON,2000,UNDESA,   Tonga,3684,1981,1703,97.962,49.862,48.1,3.760641882,3.972965384,3.540540541,,,
TUV,2000,UNDESA,   Tuvalu,218,121,97,9.392,,,2.321124361,,,,,
KAZ,1995,UNDESA,   Kazakhstan,3251968,1497455,1754513,15839.357,7673.094,8166.263,20.53093443,19.51566083,21.48489462,,15561,0.478510244
KGZ,1995,UNDESA,   Kyrgyzstan,518338,216638,301700,4566.096,2252.574,2313.522,11.35188572,9.617353303,13.04072319,,13407,2.586536198
TJK,1995,UNDESA,   Tajikistan,348347,151894,196453,5764.806,2876.271,2888.535,6.042649137,5.280934933,6.801129292,,620,0.177983448
TKM,1995,UNDESA,   Turkmenistan,273565,132122,141443,4207.841,2071.646,2136.195,6.501315045,6.377634017,6.621258827,,23323,8.52557893
UZB,1995,UNDESA,   Uzbekistan,1512577,657490,855087,22791.033,11332.924,11458.109,6.636719801,5.801591893,7.462723561,,2627,0.173677109
CHN,1995,UNDESA,   China,442198,223018,219180,1240920.539,636686.865,604233.674,0.035634675,0.035027894,0.036274046,,289747,65.52426741
HKG,1995,UNDESA,"   China, Hong Kong SAR",2443798,1175087,1268711,6084.234,3052.219,3032.015,40.16607514,38.49943271,41.84382333,,5536,0.226532635
TWN,1995,UNDESA,"   China, Taiwan Province of China",,,,21356.025,10911.819,10444.206,,,,,,
JPN,1995,UNDESA,   Japan,1362371,680212,682159,126365.486,62189.605,64175.881,1.078119543,1.093771218,1.062952295,,5322,0.39064249
MNG,1995,UNDESA,   Mongolia,7424,3959,3465,2298.017,1138.455,1159.562,0.323061144,0.347751997,0.298819727,,,
KOR,1995,UNDESA,   Republic of Korea,123886,70758,53128,45292.521,22729.802,22562.719,0.273524187,0.311300556,0.235468075,,5,0.004035969
BRN,1995,UNDESA,   Brunei Darussalam,84748,47832,36916,297.112,155.344,141.768,28.52392364,30.79101864,26.03972688,,,
KHM,1995,UNDESA,   Cambodia,92230,45361,46869,10656.145,5173.358,5482.787,0.865509994,0.876819273,0.854838971,,15,0.016263689
IDN,1995,UNDESA,   Indonesia,378960,191600,187360,196934.257,98509.83,98424.427,0.1924297,0.194498356,0.190359249,,202,0.053303779
LAO,1995,UNDESA,   Lao People's Democratic Republic,23526,12199,11327,4846.477,2416.503,2429.974,0.485424774,0.504820395,0.466136675,,,
MYS,1995,UNDESA,   Malaysia,937368,534964,402404,20487.604,10428.403,10059.201,4.575293431,5.129874632,4.000357484,,23323,2.488136996
MMR,1995,UNDESA,   Myanmar,113663,61489,52174,43901.598,21351.267,22550.331,0.258904015,0.287987593,0.231366892,,,
PHL,1995,UNDESA,   Philippines,207345,107524,99821,69784.087,35201.254,34582.833,0.297123612,0.305455027,0.288643212,,783,0.377631484
SGP,1995,UNDESA,   Singapore,991492,456411,535081,3525.964,1790.351,1735.613,28.11974257,25.49282236,30.82951096,,112,0.011296107
THA,1995,UNDESA,   Thailand,809720,426290,383430,59467.272,29537.662,29929.61,1.361622911,1.443208335,1.281105901,,106565,13.16072222
TLS,1995,UNDESA,   Timor-Leste,9743,4763,4980,844.333,426.029,418.304,1.153928604,1.117999009,1.190521726,,,
VNM,1995,UNDESA,   Viet Nam,51262,28187,23075,74910.462,37098.192,37812.27,0.068431029,0.075979444,0.061025165,,34400,67.10623854
AFG,1995,UNDESA,   Afghanistan,71522,39105,32417,18110.662,9392.627,8718.035,0.394916541,0.416337197,0.371838379,,19605,27.41114622
BGD,1995,UNDESA,   Bangladesh,934735,503989,430746,115169.933,59293.801,55876.132,0.811613739,0.849985988,0.770894449,,10996,1.176376192
BTN,1995,UNDESA,   Bhutan,27972,22804,5168,534.629,273.921,260.708,5.232039414,8.325028019,1.982294368,,,
IND,1995,UNDESA,   India,6952238,3608978,3343260,963922.586,500830.598,463091.988,0.721244434,0.720598545,0.721942959,,227480,3.272039881
MDV,1995,UNDESA,   Maldives,18510,9243,9267,254.144,128.629,125.515,7.283272475,7.185782366,7.383181293,,,
NPL,1995,UNDESA,   Nepal,690225,217088,473137,21576.074,10903.157,10672.917,3.199029629,1.991056352,4.433061739,,124754,18.07439603
PAK,1995,UNDESA,   Pakistan,3669308,1951223,1718085,123776.835,63984.934,59791.901,2.964454536,3.04950381,2.873441003,,1202493,32.77165613
LKA,1995,UNDESA,   Sri Lanka,40841,22689,18152,18242.917,9162.935,9079.982,0.223873189,0.247617166,0.199912291,,16,0.039176318
ARM,1995,UNDESA,   Armenia,693999,284995,409004,3217.349,1524.014,1693.335,21.57052281,18.70028753,24.15375575,,218950,31.54903681
AZE,1995,UNDESA,   Azerbaijan,344070,149509,194561,7775.418,3797.331,3978.087,4.425099718,3.937212742,4.890818124,,233682,67.91699364
GEO,1995,UNDESA,   Georgia,152235,66643,85592,4976.252,2355.426,2620.826,3.059230119,2.829339576,3.265840617,,3200,2.102013335
AUS,1995,UNDESA,   Australia,4153330,2093280,2060050,17993.083,8951.036,9042.047,23.08292581,23.38589634,22.78300478,,79081,1.904038446
NZL,1995,UNDESA,   New Zealand,588617,289230,299387,3674.94,1810.954,1863.986,16.01705062,15.97114007,16.06165497,,3758,0.638445713
FJI,1995,UNDESA,   Fiji,13001,6726,6275,775.428,394.117,381.311,1.676622459,1.706599817,1.645638337,,,
PNG,1995,UNDESA,   Papua New Guinea,33526,19832,13694,5187.063,2636.351,2550.712,0.646338786,0.752251881,0.536869705,,9601,28.63747539
SLB,1995,UNDESA,   Solomon Islands,4178,2328,1850,359.276,184.535,174.741,1.162894265,1.2615493,1.058709748,,,
VUT,1995,UNDESA,   Vanuatu,2461,1295,1166,168.161,86.273,81.888,1.463478452,1.501048996,1.423896053,,,
KIR,1995,UNDESA,   Kiribati,2223,1139,1084,77.716,38.52,39.196,2.860414844,2.956905504,2.765588325,,,
MHL,1995,UNDESA,   Marshall Islands,1480,916,564,50.454,,,2.933365045,,,,,
FSM,1995,UNDESA,   Micronesia (Fed. States of),3342,2119,1223,107.535,54.971,52.564,3.107825359,3.854759782,2.326687467,,,
NRU,1995,UNDESA,   Nauru,2605,1395,1210,10.626,,,24.51533973,,,,,
PLW,1995,UNDESA,   Palau,4749,2808,1941,17.158,,,27.67805105,,,,,
COK,1995,UNDESA,   Cook Islands,2686,1497,1189,19.105,,,14.05914682,,,,,
NIU,1995,UNDESA,   Niue,480,257,223,2.161,,,22.21193892,,,,,
WSM,1995,UNDESA,   Samoa,4694,2451,2243,170.05,88.443,81.607,2.760364599,2.771276415,2.748538728,,,
TON,1995,UNDESA,   Tonga,3274,1718,1556,95.972,48.684,47.288,3.411411662,3.528880125,3.290475385,,,
TUV,1995,UNDESA,   Tuvalu,263,148,115,9.298,,,2.828565283,,,,,
KAZ,1990,UNDESA,   Kazakhstan,3619200,1666164,1953036,16383.881,7951.679,8432.202,22.09000419,20.95361244,23.16163678,,,
KGZ,1990,UNDESA,   Kyrgyzstan,623083,260416,362667,4372.885,2144.643,2228.242,14.24878541,12.142627,16.27592515,,,
TJK,1990,UNDESA,   Tajikistan,428900,187972,240928,5283.811,2619.151,2664.66,8.117247191,7.176829438,9.041603807,,3000,0.699463744
TKM,1990,UNDESA,   Turkmenistan,306500,134174,172326,3683.978,1810.473,1873.505,8.319810813,7.410991492,9.198053915,,,
UZB,1990,UNDESA,   Uzbekistan,1653000,723618,929382,20398.347,10090.933,10307.414,8.103597806,7.170972199,9.016635986,,,
CHN,1990,UNDESA,   China,376361,191954,184407,1176883.681,603859.475,573024.206,0.031979456,0.031787859,0.032181363,,285788,75.93454157
HKG,1990,UNDESA,"   China, Hong Kong SAR",2218473,1124544,1093929,5727.942,2910.086,2817.856,38.7307169,38.64298169,38.82132373,,10092,0.454907497
TWN,1990,UNDESA,"   China, Taiwan Province of China",,,,20478.516,10533.906,9944.61,,,,,,
JPN,1990,UNDESA,   Japan,1075317,538765,536552,124505.243,61357.276,63147.967,0.863672062,0.878078421,0.849674226,,6649,0.618329293
MNG,1990,UNDESA,   Mongolia,6718,3419,3299,2184.139,1078.252,1105.887,0.307581157,0.317087286,0.298312576,,,
KOR,1990,UNDESA,   Republic of Korea,43247,24349,18898,42918.416,21514.148,21404.268,0.100765601,0.113176687,0.088290803,,230,0.531828797
BRN,1990,UNDESA,   Brunei Darussalam,73200,41856,31344,258.714,136.439,122.275,28.2937916,30.6774456,25.63402167,,,
KHM,1990,UNDESA,   Cambodia,38375,19084,19291,8975.597,4334.68,4640.917,0.427548162,0.44026318,0.415672161,,,
IDN,1990,UNDESA,   Indonesia,465612,229885,235727,181413.398,91096.365,90317.033,0.256658001,0.252353648,0.260999495,,2138,0.459180605
LAO,1990,UNDESA,   Lao People's Democratic Republic,22866,11806,11060,4258.471,2129.857,2128.614,0.536953287,0.554309515,0.519586924,,,
MYS,1990,UNDESA,   Malaysia,695920,405808,290112,18029.824,9172.078,8857.746,3.859826918,4.424384529,3.275235032,,14862,2.135590298
MMR,1990,UNDESA,   Myanmar,133545,72310,61235,41335.188,20123.771,21211.417,0.323078245,0.359326291,0.28868887,,,
PHL,1990,UNDESA,   Philippines,154071,81347,72724,61895.169,31267.88,30627.289,0.248922497,0.260161546,0.237448375,,19860,12.89016103
SGP,1990,UNDESA,   Singapore,727262,345842,381420,3012.968,1515.834,1497.134,24.13772732,22.81529508,25.47667744,,146,0.020075296
THA,1990,UNDESA,   Thailand,528693,283486,245207,56558.196,28018.398,28539.798,0.934776986,1.011785185,0.859175668,,99821,18.88071149
TLS,1990,UNDESA,   Timor-Leste,8954,4450,4504,737.814,372.681,365.133,1.213584996,1.194050676,1.233523127,,,
VNM,1990,UNDESA,   Viet Nam,28118,15230,12888,67988.855,33653.283,34335.572,0.041356778,0.045255614,0.037535417,,21150,75.2187211
AFG,1990,UNDESA,   Afghanistan,57686,32558,25128,12412.311,6344.617,6067.694,0.464748265,0.513159423,0.414127674,,25,0.043338072
BGD,1990,UNDESA,   Bangladesh,881617,476097,405520,103171.957,53216.139,49955.818,0.854512239,0.894647768,0.811757301,,73,0.00828024
BTN,1990,UNDESA,   Bhutan,23807,19409,4398,530.801,272.811,257.99,4.485108355,7.114449197,1.704717237,,,
IND,1990,UNDESA,   India,7594801,3967470,3627331,873277.799,453257.379,420020.42,0.869689005,0.875323863,0.86360825,,212743,2.801166219
MDV,1990,UNDESA,   Maldives,8689,4777,3912,223.159,114.398,108.761,3.893636376,4.175772304,3.596877557,,,
NPL,1990,UNDESA,   Nepal,429974,125966,304008,18905.48,9395.937,9509.543,2.274335272,1.340643301,3.196872868,,17325,4.0293134
PAK,1990,UNDESA,   Pakistan,6208204,3264380,2943824,107647.918,55820.76,51827.158,5.767138014,5.847967674,5.68007993,,3265845,52.60531065
LKA,1990,UNDESA,   Sri Lanka,41561,23423,18138,17325.769,8748.041,8577.728,0.239879684,0.267751374,0.211454595,,15,0.036091528
ARM,1990,UNDESA,   Armenia,658789,270535,388254,3538.164,1714.812,1823.352,18.61951566,15.77636499,21.29342003,,,
AZE,1990,UNDESA,   Azerbaijan,360600,157856,202744,7242.758,3541.447,3701.311,4.978766376,4.457387051,5.477626711,,,
GEO,1990,UNDESA,   Georgia,304470,133285,171185,5410.4,2572.132,2838.268,5.627495194,5.181888021,6.0313191,,,
AUS,1990,UNDESA,   Australia,3955213,2013196,1942017,16960.6,8455.083,8505.517,23.32000637,23.81048181,22.83243923,,97915,2.475593603
NZL,1990,UNDESA,   New Zealand,518047,258223,259824,3398.175,1672.54,1725.635,15.24485937,15.43897306,15.05671825,,4666,0.900690478
FJI,1990,UNDESA,   Fiji,13283,6847,6436,728.575,370.088,358.487,1.823147926,1.850100517,1.795323122,,,
PNG,1990,UNDESA,   Papua New Guinea,33710,19362,14348,4615.843,2348.434,2267.409,0.730310801,0.824464303,0.63279276,,8089,23.99584693
SLB,1990,UNDESA,   Solomon Islands,4226,2349,1877,311.869,160.239,151.63,1.355056129,1.465935259,1.237881686,,,
VUT,1990,UNDESA,   Vanuatu,2308,1269,1039,146.575,75.381,71.194,1.574620501,1.683448084,1.459392645,,,
KIR,1990,UNDESA,   Kiribati,2162,1107,1055,72.394,35.812,36.582,2.98643534,3.091142634,2.883931988,,,
MHL,1990,UNDESA,   Marshall Islands,1158,721,437,47.265,,,2.450015868,,,,,
FSM,1990,UNDESA,   Micronesia (Fed. States of),3685,2099,1586,96.304,49.253,47.051,3.826424655,4.26166934,3.370810397,,,
NRU,1990,UNDESA,   Nauru,2815,1506,1309,9.506,,,29.61287608,,,,,
PLW,1990,UNDESA,   Palau,2801,1800,1001,15.063,,,18.59523335,,,,,
COK,1990,UNDESA,   Cook Islands,2587,1443,1144,18.195,,,14.21819181,,,,,
NIU,1990,UNDESA,   Niue,461,245,216,2.332,,,19.76843911,,,,,
WSM,1990,UNDESA,   Samoa,3357,1771,1586,162.797,84.981,77.816,2.062077311,2.083995246,2.038141256,,,
TON,1990,UNDESA,   Tonga,2911,1488,1423,95.069,48.229,46.84,3.061986557,3.08528064,3.038001708,,,
TUV,1990,UNDESA,   Tuvalu,318,180,138,8.91,,,3.569023569,,,,,
